TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,14651.6
2021-11-01 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5851.9
2021-11-02 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,2034.4
2021-11-03 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5309.8
2021-11-04 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,8564.5
2021-11-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5429.4
2021-11-08 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4631.1
2021-11-10 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,2809.6
2021-11-13 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4087.8
2021-11-14 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3774.8
2021-11-15 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3847.2
2021-11-16 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5249.8
2021-11-17 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6554.4
2021-11-18 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3824.9
2021-11-19 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,1517.7
2021-11-20 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,723.3
2021-12-02 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,181
2021-12-04 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4193.6
2021-12-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6355.7
2021-12-06 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,13519.5
2021-12-07 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,13559.7
2021-12-08 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10872.6
2021-12-15 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,2432.3
2021-12-16 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7351.8
2021-12-17 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,706.4
2021-12-18 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4762.4
2021-12-19 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4685.7
2021-12-20 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,378.1
2021-12-22 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4796.1
2021-12-23 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,15971.6
2021-12-24 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3160.9
2021-12-29 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4337.4
2022-01-01 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,1635.8
2022-01-02 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,8476.5
2022-01-03 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6655.8
2022-01-04 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,850.4
2022-01-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3492.7
2022-01-15 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,22.6
2022-01-17 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3832.5
2022-01-18 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4018.2
2022-01-19 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,11111
2022-01-20 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4133.9
2022-01-24 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4906.6
2022-01-25 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9552.1
2022-01-26 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4110.3
2022-01-27 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4290.4
2022-01-29 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3656.8
2022-01-30 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4940.7
2022-01-31 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,17090.1
2022-02-01 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10460
2022-02-02 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,17235.6
2022-02-03 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,15704.4
2022-02-04 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10509.9
2022-02-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,16058.2
2022-02-06 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,12831.5
2022-02-07 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,12674.7
2022-02-08 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,13387.3
2022-02-09 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,15561.8
2022-02-10 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,14975.2
2022-02-11 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,15580.1
2022-02-12 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,16672.6
2022-02-13 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,12309
2022-02-14 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10649.2
2022-02-15 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,13773.6
2022-02-16 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6794.5
2022-02-17 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,8493
2022-02-18 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6780.5
2022-02-19 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6365.8
2022-02-20 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3801.3
2022-02-21 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4737
2022-02-22 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5819.8
2022-02-23 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5718.7
2022-02-24 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9670.6
2022-02-25 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,15050.1
2022-02-26 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10812
2022-02-27 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6370.4
2022-02-28 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,549.6
2022-03-28 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,142.7
2022-04-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3454.2
2022-04-10 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6096.2
2022-04-11 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4801
2022-04-12 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4126.6
2022-04-18 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7391.2
2022-04-19 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7687.6
2022-04-20 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6315.6
2022-04-21 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4432.3
2022-04-22 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5243.1
2022-04-24 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4666.7
2022-04-26 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,3379.1
2022-04-27 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7679.2
2022-04-29 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6319.7
2022-04-30 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,10943.4
2022-05-01 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,1988.9
2022-06-01 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,2872.4
2022-06-02 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5396.7
2022-06-03 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6628.8
2022-06-04 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6191.5
2022-06-05 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,5506.8
2022-06-06 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,4417.4
2022-06-07 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9650.1
2022-06-08 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,8365.4
2022-06-09 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7996.1
2022-06-10 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9683.5
2022-06-11 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,8154.1
2022-06-12 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9845.9
2022-06-13 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,11657.3
2022-06-14 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,2071.8
2022-06-15 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,9598.4
2022-06-16 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,7402.8
2022-06-17 00:00:00,LAKE-1,HEAT_QA,MMBTU/HR,6565.8
