TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-1,NH3TONS,TONS,0.009931694
2021-11-01 00:00:00,LAKE-1,NH3TONS,TONS,0.005414357
2021-11-02 00:00:00,LAKE-1,NH3TONS,TONS,0.002611669
2021-11-03 00:00:00,LAKE-1,NH3TONS,TONS,-0.000191959
2021-11-04 00:00:00,LAKE-1,NH3TONS,TONS,-0.001560972
2021-11-05 00:00:00,LAKE-1,NH3TONS,TONS,-0.002271053
2021-11-08 00:00:00,LAKE-1,NH3TONS,TONS,0.003777764
2021-11-10 00:00:00,LAKE-1,NH3TONS,TONS,0.001820789
2021-11-13 00:00:00,LAKE-1,NH3TONS,TONS,0.000334763
2021-11-14 00:00:00,LAKE-1,NH3TONS,TONS,-0.000752254
2021-11-15 00:00:00,LAKE-1,NH3TONS,TONS,-0.002431313
2021-11-16 00:00:00,LAKE-1,NH3TONS,TONS,0.000483559
2021-11-17 00:00:00,LAKE-1,NH3TONS,TONS,0.000425897
2021-11-18 00:00:00,LAKE-1,NH3TONS,TONS,-0.002508371
2021-11-19 00:00:00,LAKE-1,NH3TONS,TONS,-0.000631455
2021-11-20 00:00:00,LAKE-1,NH3TONS,TONS,0.000416788
2021-12-02 00:00:00,LAKE-1,NH3TONS,TONS,0.001259893
2021-12-04 00:00:00,LAKE-1,NH3TONS,TONS,0.000653998
2021-12-05 00:00:00,LAKE-1,NH3TONS,TONS,0.000866909
2021-12-06 00:00:00,LAKE-1,NH3TONS,TONS,-0.005154828
2021-12-07 00:00:00,LAKE-1,NH3TONS,TONS,-0.003970315
2021-12-08 00:00:00,LAKE-1,NH3TONS,TONS,0.002909314
2021-12-15 00:00:00,LAKE-1,NH3TONS,TONS,0.001492198
2021-12-16 00:00:00,LAKE-1,NH3TONS,TONS,-0.000950358
2021-12-17 00:00:00,LAKE-1,NH3TONS,TONS,0.000359389
2021-12-18 00:00:00,LAKE-1,NH3TONS,TONS,-0.000577364
2021-12-19 00:00:00,LAKE-1,NH3TONS,TONS,0.005329824
2021-12-20 00:00:00,LAKE-1,NH3TONS,TONS,0.001034475
2021-12-22 00:00:00,LAKE-1,NH3TONS,TONS,0.006535313
2021-12-23 00:00:00,LAKE-1,NH3TONS,TONS,0.016251415
2021-12-24 00:00:00,LAKE-1,NH3TONS,TONS,0.002074045
2021-12-29 00:00:00,LAKE-1,NH3TONS,TONS,0.006010301
2022-01-01 00:00:00,LAKE-1,NH3TONS,TONS,0.001201123
2022-01-02 00:00:00,LAKE-1,NH3TONS,TONS,0.005585712
2022-01-03 00:00:00,LAKE-1,NH3TONS,TONS,0.004703909
2022-01-04 00:00:00,LAKE-1,NH3TONS,TONS,0.000707427
2022-01-05 00:00:00,LAKE-1,NH3TONS,TONS,0.006421669
2022-01-15 00:00:00,LAKE-1,NH3TONS,TONS,1.03144E-06
2022-01-17 00:00:00,LAKE-1,NH3TONS,TONS,0.00124024
2022-01-18 00:00:00,LAKE-1,NH3TONS,TONS,0.003837489
2022-01-19 00:00:00,LAKE-1,NH3TONS,TONS,0.0081969
2022-01-20 00:00:00,LAKE-1,NH3TONS,TONS,0.001749808
2022-01-24 00:00:00,LAKE-1,NH3TONS,TONS,0.002422747
2022-01-25 00:00:00,LAKE-1,NH3TONS,TONS,0.005189485
2022-01-26 00:00:00,LAKE-1,NH3TONS,TONS,0.002265319
2022-01-27 00:00:00,LAKE-1,NH3TONS,TONS,0.003423643
2022-01-29 00:00:00,LAKE-1,NH3TONS,TONS,0.002236869
2022-01-30 00:00:00,LAKE-1,NH3TONS,TONS,0.003997604
2022-01-31 00:00:00,LAKE-1,NH3TONS,TONS,0.011467635
2022-02-01 00:00:00,LAKE-1,NH3TONS,TONS,0.004932059
2022-02-02 00:00:00,LAKE-1,NH3TONS,TONS,0.013573731
2022-02-03 00:00:00,LAKE-1,NH3TONS,TONS,0.00642888
2022-02-04 00:00:00,LAKE-1,NH3TONS,TONS,0.006712036
2022-02-05 00:00:00,LAKE-1,NH3TONS,TONS,0.010504838
2022-02-06 00:00:00,LAKE-1,NH3TONS,TONS,0.005111182
2022-02-07 00:00:00,LAKE-1,NH3TONS,TONS,0.006717095
2022-02-08 00:00:00,LAKE-1,NH3TONS,TONS,0.007129704
2022-02-09 00:00:00,LAKE-1,NH3TONS,TONS,0.003479646
2022-02-10 00:00:00,LAKE-1,NH3TONS,TONS,0.006113623
2022-02-11 00:00:00,LAKE-1,NH3TONS,TONS,0.006104041
2022-02-12 00:00:00,LAKE-1,NH3TONS,TONS,0.003187101
2022-02-13 00:00:00,LAKE-1,NH3TONS,TONS,0.000641912
2022-02-14 00:00:00,LAKE-1,NH3TONS,TONS,-0.001176004
2022-02-15 00:00:00,LAKE-1,NH3TONS,TONS,0.007316523
2022-02-16 00:00:00,LAKE-1,NH3TONS,TONS,0.003305721
2022-02-17 00:00:00,LAKE-1,NH3TONS,TONS,0.002618308
2022-02-18 00:00:00,LAKE-1,NH3TONS,TONS,0.00409017
2022-02-19 00:00:00,LAKE-1,NH3TONS,TONS,0.007743618
2022-02-20 00:00:00,LAKE-1,NH3TONS,TONS,0.003117846
2022-02-21 00:00:00,LAKE-1,NH3TONS,TONS,0.00534249
2022-02-22 00:00:00,LAKE-1,NH3TONS,TONS,0.005619466
2022-02-23 00:00:00,LAKE-1,NH3TONS,TONS,0.006444828
2022-02-24 00:00:00,LAKE-1,NH3TONS,TONS,0.006346193
2022-02-25 00:00:00,LAKE-1,NH3TONS,TONS,0.01099886
2022-02-26 00:00:00,LAKE-1,NH3TONS,TONS,0.007690631
2022-02-27 00:00:00,LAKE-1,NH3TONS,TONS,0.004694142
2022-02-28 00:00:00,LAKE-1,NH3TONS,TONS,0.001491512
2022-03-28 00:00:00,LAKE-1,NH3TONS,TONS,0.001205346
2022-04-05 00:00:00,LAKE-1,NH3TONS,TONS,0.002658693
2022-04-10 00:00:00,LAKE-1,NH3TONS,TONS,0.008853574
2022-04-11 00:00:00,LAKE-1,NH3TONS,TONS,0.011377434
2022-04-12 00:00:00,LAKE-1,NH3TONS,TONS,0.009649865
2022-04-18 00:00:00,LAKE-1,NH3TONS,TONS,0.018117009
2022-04-19 00:00:00,LAKE-1,NH3TONS,TONS,0.020080282
2022-04-20 00:00:00,LAKE-1,NH3TONS,TONS,0.016506026
2022-04-21 00:00:00,LAKE-1,NH3TONS,TONS,0.011674738
2022-04-22 00:00:00,LAKE-1,NH3TONS,TONS,0.013576948
2022-04-24 00:00:00,LAKE-1,NH3TONS,TONS,0.011899489
2022-04-26 00:00:00,LAKE-1,NH3TONS,TONS,0.007870488
2022-04-27 00:00:00,LAKE-1,NH3TONS,TONS,0.012901271
2022-04-29 00:00:00,LAKE-1,NH3TONS,TONS,0.002832962
2022-04-30 00:00:00,LAKE-1,NH3TONS,TONS,0.000259086
2022-06-01 00:00:00,LAKE-1,NH3TONS,TONS,0.004267945
2022-06-02 00:00:00,LAKE-1,NH3TONS,TONS,0.007246636
2022-06-03 00:00:00,LAKE-1,NH3TONS,TONS,0.00893095
2022-06-04 00:00:00,LAKE-1,NH3TONS,TONS,0.006283412
2022-06-05 00:00:00,LAKE-1,NH3TONS,TONS,0.006354354
2022-06-06 00:00:00,LAKE-1,NH3TONS,TONS,0.004632431
2022-06-07 00:00:00,LAKE-1,NH3TONS,TONS,0.015057744
2022-06-08 00:00:00,LAKE-1,NH3TONS,TONS,0.013223506
2022-06-09 00:00:00,LAKE-1,NH3TONS,TONS,0.012483527
2022-06-10 00:00:00,LAKE-1,NH3TONS,TONS,0.013036446
2022-06-11 00:00:00,LAKE-1,NH3TONS,TONS,0.01246005
2022-06-12 00:00:00,LAKE-1,NH3TONS,TONS,0.015072407
2022-06-13 00:00:00,LAKE-1,NH3TONS,TONS,0.01991291
2022-06-14 00:00:00,LAKE-1,NH3TONS,TONS,0.00369116
2022-06-15 00:00:00,LAKE-1,NH3TONS,TONS,0.006366959
2022-06-16 00:00:00,LAKE-1,NH3TONS,TONS,0.007876563
2022-06-17 00:00:00,LAKE-1,NH3TONS,TONS,0.005855133
2022-06-18 00:00:00,LAKE-1,NH3TONS,TONS,0.005731023
2022-06-19 00:00:00,LAKE-1,NH3TONS,TONS,0.005396549
