TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-1,COTONS,TONS,0.009214791
2021-11-01 00:00:00,LAKE-1,COTONS,TONS,0.003619996
2021-11-02 00:00:00,LAKE-1,COTONS,TONS,0.002976055
2021-11-03 00:00:00,LAKE-1,COTONS,TONS,0.003182214
2021-11-04 00:00:00,LAKE-1,COTONS,TONS,0.006236103
2021-11-05 00:00:00,LAKE-1,COTONS,TONS,0.000968
2021-11-08 00:00:00,LAKE-1,COTONS,TONS,0.0003575
2021-11-10 00:00:00,LAKE-1,COTONS,TONS,0.001259442
2021-11-13 00:00:00,LAKE-1,COTONS,TONS,0.002623318
2021-11-14 00:00:00,LAKE-1,COTONS,TONS,0.002790958
2021-11-15 00:00:00,LAKE-1,COTONS,TONS,0.00404155
2021-11-16 00:00:00,LAKE-1,COTONS,TONS,0.002137979
2021-11-17 00:00:00,LAKE-1,COTONS,TONS,0.003984884
2021-11-18 00:00:00,LAKE-1,COTONS,TONS,0.001920225
2021-11-19 00:00:00,LAKE-1,COTONS,TONS,0.000539068
2021-11-20 00:00:00,LAKE-1,COTONS,TONS,0.000462827
2021-12-02 00:00:00,LAKE-1,COTONS,TONS,0.000419695
2021-12-04 00:00:00,LAKE-1,COTONS,TONS,0.00211238
2021-12-05 00:00:00,LAKE-1,COTONS,TONS,0.00353114
2021-12-06 00:00:00,LAKE-1,COTONS,TONS,0.00779368
2021-12-07 00:00:00,LAKE-1,COTONS,TONS,0.008483914
2021-12-08 00:00:00,LAKE-1,COTONS,TONS,0.007087256
2021-12-15 00:00:00,LAKE-1,COTONS,TONS,0.00170873
2021-12-16 00:00:00,LAKE-1,COTONS,TONS,0.003710532
2021-12-17 00:00:00,LAKE-1,COTONS,TONS,0.000580588
2021-12-18 00:00:00,LAKE-1,COTONS,TONS,0.00308628
2021-12-19 00:00:00,LAKE-1,COTONS,TONS,0.006120505
2021-12-20 00:00:00,LAKE-1,COTONS,TONS,0.000310042
2021-12-22 00:00:00,LAKE-1,COTONS,TONS,0.004492322
2021-12-23 00:00:00,LAKE-1,COTONS,TONS,0.0110826
2021-12-24 00:00:00,LAKE-1,COTONS,TONS,0.001179752
2021-12-29 00:00:00,LAKE-1,COTONS,TONS,0.003987935
2022-01-01 00:00:00,LAKE-1,COTONS,TONS,0.00146328
2022-01-02 00:00:00,LAKE-1,COTONS,TONS,0.009282219
2022-01-03 00:00:00,LAKE-1,COTONS,TONS,0.007704338
2022-01-04 00:00:00,LAKE-1,COTONS,TONS,0.00068581
2022-01-05 00:00:00,LAKE-1,COTONS,TONS,0.003498375
2022-01-15 00:00:00,LAKE-1,COTONS,TONS,0.000086445
2022-01-17 00:00:00,LAKE-1,COTONS,TONS,0.00187864
2022-01-18 00:00:00,LAKE-1,COTONS,TONS,0.004154416
2022-01-19 00:00:00,LAKE-1,COTONS,TONS,0.007867777
2022-01-20 00:00:00,LAKE-1,COTONS,TONS,0.003758495
2022-01-24 00:00:00,LAKE-1,COTONS,TONS,0.003928559
2022-01-25 00:00:00,LAKE-1,COTONS,TONS,0.010795307
2022-01-26 00:00:00,LAKE-1,COTONS,TONS,0.004683746
2022-01-27 00:00:00,LAKE-1,COTONS,TONS,0.004552813
2022-01-29 00:00:00,LAKE-1,COTONS,TONS,0.004612263
2022-01-30 00:00:00,LAKE-1,COTONS,TONS,0.005564501
2022-01-31 00:00:00,LAKE-1,COTONS,TONS,0.01368445
2022-02-01 00:00:00,LAKE-1,COTONS,TONS,0.010954657
2022-02-02 00:00:00,LAKE-1,COTONS,TONS,0.0149615
2022-02-03 00:00:00,LAKE-1,COTONS,TONS,0.01108235
2022-02-04 00:00:00,LAKE-1,COTONS,TONS,0.01052297
2022-02-05 00:00:00,LAKE-1,COTONS,TONS,0.0117449
2022-02-06 00:00:00,LAKE-1,COTONS,TONS,0.009428529
2022-02-07 00:00:00,LAKE-1,COTONS,TONS,0.01303526
2022-02-08 00:00:00,LAKE-1,COTONS,TONS,0.013586707
2022-02-09 00:00:00,LAKE-1,COTONS,TONS,0.01460175
2022-02-10 00:00:00,LAKE-1,COTONS,TONS,0.01434805
2022-02-11 00:00:00,LAKE-1,COTONS,TONS,0.0150564
2022-02-12 00:00:00,LAKE-1,COTONS,TONS,0.01963765
2022-02-13 00:00:00,LAKE-1,COTONS,TONS,0.013441011
2022-02-14 00:00:00,LAKE-1,COTONS,TONS,0.0110919
2022-02-15 00:00:00,LAKE-1,COTONS,TONS,0.009668324
2022-02-16 00:00:00,LAKE-1,COTONS,TONS,0.007437654
2022-02-17 00:00:00,LAKE-1,COTONS,TONS,0.011597997
2022-02-18 00:00:00,LAKE-1,COTONS,TONS,0.009991297
2022-02-19 00:00:00,LAKE-1,COTONS,TONS,0.007013222
2022-02-20 00:00:00,LAKE-1,COTONS,TONS,0.007225035
2022-02-21 00:00:00,LAKE-1,COTONS,TONS,0.005512104
2022-02-22 00:00:00,LAKE-1,COTONS,TONS,0.007073681
2022-02-23 00:00:00,LAKE-1,COTONS,TONS,0.006487418
2022-02-24 00:00:00,LAKE-1,COTONS,TONS,0.010678384
2022-02-25 00:00:00,LAKE-1,COTONS,TONS,0.016589208
2022-02-26 00:00:00,LAKE-1,COTONS,TONS,0.012765504
2022-02-27 00:00:00,LAKE-1,COTONS,TONS,0.007399718
2022-02-28 00:00:00,LAKE-1,COTONS,TONS,0.001302127
2022-03-28 00:00:00,LAKE-1,COTONS,TONS,0.000282708
2022-04-05 00:00:00,LAKE-1,COTONS,TONS,0.016568295
2022-04-10 00:00:00,LAKE-1,COTONS,TONS,0.006252669
2022-04-11 00:00:00,LAKE-1,COTONS,TONS,0.004107973
2022-04-12 00:00:00,LAKE-1,COTONS,TONS,0.007664526
2022-04-18 00:00:00,LAKE-1,COTONS,TONS,0.01171575
2022-04-19 00:00:00,LAKE-1,COTONS,TONS,0.005800863
2022-04-20 00:00:00,LAKE-1,COTONS,TONS,0.005914163
2022-04-21 00:00:00,LAKE-1,COTONS,TONS,0.004476241
2022-04-22 00:00:00,LAKE-1,COTONS,TONS,0.004905153
2022-04-24 00:00:00,LAKE-1,COTONS,TONS,0.007315967
2022-04-26 00:00:00,LAKE-1,COTONS,TONS,0.004499206
2022-04-27 00:00:00,LAKE-1,COTONS,TONS,0.006443638
2022-04-29 00:00:00,LAKE-1,COTONS,TONS,0.004613376
2022-04-30 00:00:00,LAKE-1,COTONS,TONS,0.00030145
2022-06-01 00:00:00,LAKE-1,COTONS,TONS,0.003111785
2022-06-02 00:00:00,LAKE-1,COTONS,TONS,0.01010425
2022-06-03 00:00:00,LAKE-1,COTONS,TONS,0.00776235
2022-06-04 00:00:00,LAKE-1,COTONS,TONS,0.01415185
2022-06-05 00:00:00,LAKE-1,COTONS,TONS,0.016908775
2022-06-06 00:00:00,LAKE-1,COTONS,TONS,0.0049039
2022-06-07 00:00:00,LAKE-1,COTONS,TONS,0.00755057
2022-06-08 00:00:00,LAKE-1,COTONS,TONS,0.005631769
2022-06-09 00:00:00,LAKE-1,COTONS,TONS,0.010015716
2022-06-10 00:00:00,LAKE-1,COTONS,TONS,0.011375772
2022-06-11 00:00:00,LAKE-1,COTONS,TONS,0.00674469
