TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-1,NOXTONS,TONS,0.079898521
2021-11-01 00:00:00,LAKE-1,NOXTONS,TONS,0.03179931
2021-11-02 00:00:00,LAKE-1,NOXTONS,TONS,0.013951195
2021-11-03 00:00:00,LAKE-1,NOXTONS,TONS,0.029769685
2021-11-04 00:00:00,LAKE-1,NOXTONS,TONS,0.049456692
2021-11-05 00:00:00,LAKE-1,NOXTONS,TONS,0.029212997
2021-11-08 00:00:00,LAKE-1,NOXTONS,TONS,0.025785106
2021-11-10 00:00:00,LAKE-1,NOXTONS,TONS,0.015467024
2021-11-13 00:00:00,LAKE-1,NOXTONS,TONS,0.024438708
2021-11-14 00:00:00,LAKE-1,NOXTONS,TONS,0.020833889
2021-11-15 00:00:00,LAKE-1,NOXTONS,TONS,0.022576356
2021-11-16 00:00:00,LAKE-1,NOXTONS,TONS,0.028488946
2021-11-17 00:00:00,LAKE-1,NOXTONS,TONS,0.037163051
2021-11-18 00:00:00,LAKE-1,NOXTONS,TONS,0.020965513
2021-11-19 00:00:00,LAKE-1,NOXTONS,TONS,0.007977294
2021-11-20 00:00:00,LAKE-1,NOXTONS,TONS,0.003923566
2021-12-02 00:00:00,LAKE-1,NOXTONS,TONS,0.001063295
2021-12-04 00:00:00,LAKE-1,NOXTONS,TONS,0.023454012
2021-12-05 00:00:00,LAKE-1,NOXTONS,TONS,0.035112193
2021-12-06 00:00:00,LAKE-1,NOXTONS,TONS,0.076458683
2021-12-07 00:00:00,LAKE-1,NOXTONS,TONS,0.074759083
2021-12-08 00:00:00,LAKE-1,NOXTONS,TONS,0.062078689
2021-12-15 00:00:00,LAKE-1,NOXTONS,TONS,0.01355908
2021-12-16 00:00:00,LAKE-1,NOXTONS,TONS,0.037186849
2021-12-17 00:00:00,LAKE-1,NOXTONS,TONS,0.00323828
2021-12-18 00:00:00,LAKE-1,NOXTONS,TONS,0.019766223
2021-12-19 00:00:00,LAKE-1,NOXTONS,TONS,0.026134866
2021-12-20 00:00:00,LAKE-1,NOXTONS,TONS,0.001628569
2021-12-22 00:00:00,LAKE-1,NOXTONS,TONS,0.027246915
2021-12-23 00:00:00,LAKE-1,NOXTONS,TONS,0.088020115
2021-12-24 00:00:00,LAKE-1,NOXTONS,TONS,0.017696716
2021-12-29 00:00:00,LAKE-1,NOXTONS,TONS,0.024064727
2022-01-01 00:00:00,LAKE-1,NOXTONS,TONS,0.009912558
2022-01-02 00:00:00,LAKE-1,NOXTONS,TONS,0.046236116
2022-01-03 00:00:00,LAKE-1,NOXTONS,TONS,0.036975513
2022-01-04 00:00:00,LAKE-1,NOXTONS,TONS,0.004563511
2022-01-05 00:00:00,LAKE-1,NOXTONS,TONS,0.021031467
2022-01-15 00:00:00,LAKE-1,NOXTONS,TONS,0.000223352
2022-01-17 00:00:00,LAKE-1,NOXTONS,TONS,0.020314144
2022-01-18 00:00:00,LAKE-1,NOXTONS,TONS,0.021763375
2022-01-19 00:00:00,LAKE-1,NOXTONS,TONS,0.06067023
2022-01-20 00:00:00,LAKE-1,NOXTONS,TONS,0.022700319
2022-01-24 00:00:00,LAKE-1,NOXTONS,TONS,0.027283982
2022-01-25 00:00:00,LAKE-1,NOXTONS,TONS,0.051482538
2022-01-26 00:00:00,LAKE-1,NOXTONS,TONS,0.022869814
2022-01-27 00:00:00,LAKE-1,NOXTONS,TONS,0.023177879
2022-01-29 00:00:00,LAKE-1,NOXTONS,TONS,0.021373691
2022-01-30 00:00:00,LAKE-1,NOXTONS,TONS,0.027123633
2022-01-31 00:00:00,LAKE-1,NOXTONS,TONS,0.094071279
2022-02-01 00:00:00,LAKE-1,NOXTONS,TONS,0.05794846
2022-02-02 00:00:00,LAKE-1,NOXTONS,TONS,0.095019045
2022-02-03 00:00:00,LAKE-1,NOXTONS,TONS,0.086460579
2022-02-04 00:00:00,LAKE-1,NOXTONS,TONS,0.060297951
2022-02-05 00:00:00,LAKE-1,NOXTONS,TONS,0.088071646
2022-02-06 00:00:00,LAKE-1,NOXTONS,TONS,0.071429835
2022-02-07 00:00:00,LAKE-1,NOXTONS,TONS,0.072336892
2022-02-08 00:00:00,LAKE-1,NOXTONS,TONS,0.073884072
2022-02-09 00:00:00,LAKE-1,NOXTONS,TONS,0.085434363
2022-02-10 00:00:00,LAKE-1,NOXTONS,TONS,0.082492035
2022-02-11 00:00:00,LAKE-1,NOXTONS,TONS,0.085688656
2022-02-12 00:00:00,LAKE-1,NOXTONS,TONS,0.091549521
2022-02-13 00:00:00,LAKE-1,NOXTONS,TONS,0.067752707
2022-02-14 00:00:00,LAKE-1,NOXTONS,TONS,0.054462856
2022-02-15 00:00:00,LAKE-1,NOXTONS,TONS,0.077573134
2022-02-16 00:00:00,LAKE-1,NOXTONS,TONS,0.037630053
2022-02-17 00:00:00,LAKE-1,NOXTONS,TONS,0.048884319
2022-02-18 00:00:00,LAKE-1,NOXTONS,TONS,0.039919032
2022-02-19 00:00:00,LAKE-1,NOXTONS,TONS,0.035448617
2022-02-20 00:00:00,LAKE-1,NOXTONS,TONS,0.020958606
2022-02-21 00:00:00,LAKE-1,NOXTONS,TONS,0.027538747
2022-02-22 00:00:00,LAKE-1,NOXTONS,TONS,0.033480484
2022-02-23 00:00:00,LAKE-1,NOXTONS,TONS,0.034290314
2022-02-24 00:00:00,LAKE-1,NOXTONS,TONS,0.0542946
2022-02-25 00:00:00,LAKE-1,NOXTONS,TONS,0.086402002
2022-02-26 00:00:00,LAKE-1,NOXTONS,TONS,0.059444501
2022-02-27 00:00:00,LAKE-1,NOXTONS,TONS,0.037131058
2022-02-28 00:00:00,LAKE-1,NOXTONS,TONS,0.002514533
2022-03-28 00:00:00,LAKE-1,NOXTONS,TONS,0.000798027
2022-04-05 00:00:00,LAKE-1,NOXTONS,TONS,0.021303163
2022-04-10 00:00:00,LAKE-1,NOXTONS,TONS,0.033584639
2022-04-11 00:00:00,LAKE-1,NOXTONS,TONS,0.027688159
2022-04-12 00:00:00,LAKE-1,NOXTONS,TONS,0.022156247
2022-04-18 00:00:00,LAKE-1,NOXTONS,TONS,0.042076103
2022-04-19 00:00:00,LAKE-1,NOXTONS,TONS,0.041583413
2022-04-20 00:00:00,LAKE-1,NOXTONS,TONS,0.037748592
2022-04-21 00:00:00,LAKE-1,NOXTONS,TONS,0.025270909
2022-04-22 00:00:00,LAKE-1,NOXTONS,TONS,0.028246546
2022-04-24 00:00:00,LAKE-1,NOXTONS,TONS,0.025978806
2022-04-26 00:00:00,LAKE-1,NOXTONS,TONS,0.020012923
2022-04-27 00:00:00,LAKE-1,NOXTONS,TONS,0.043727869
2022-04-29 00:00:00,LAKE-1,NOXTONS,TONS,0.018037467
2022-04-30 00:00:00,LAKE-1,NOXTONS,TONS,0.003276077
2022-06-01 00:00:00,LAKE-1,NOXTONS,TONS,0.015889971
2022-06-02 00:00:00,LAKE-1,NOXTONS,TONS,0.032076744
2022-06-03 00:00:00,LAKE-1,NOXTONS,TONS,0.03681176
2022-06-04 00:00:00,LAKE-1,NOXTONS,TONS,0.033604245
2022-06-05 00:00:00,LAKE-1,NOXTONS,TONS,0.030804087
2022-06-06 00:00:00,LAKE-1,NOXTONS,TONS,0.027993905
2022-06-07 00:00:00,LAKE-1,NOXTONS,TONS,0.053626553
2022-06-08 00:00:00,LAKE-1,NOXTONS,TONS,0.045478845
2022-06-09 00:00:00,LAKE-1,NOXTONS,TONS,0.04416363
2022-06-10 00:00:00,LAKE-1,NOXTONS,TONS,0.053679445
2022-06-11 00:00:00,LAKE-1,NOXTONS,TONS,0.045117404
2022-06-12 00:00:00,LAKE-1,NOXTONS,TONS,0.053827977
2022-06-13 00:00:00,LAKE-1,NOXTONS,TONS,0.065177717
2022-06-14 00:00:00,LAKE-1,NOXTONS,TONS,0.011072138
2022-06-15 00:00:00,LAKE-1,NOXTONS,TONS,0.057610136
2022-06-16 00:00:00,LAKE-1,NOXTONS,TONS,0.04000803
2022-06-17 00:00:00,LAKE-1,NOXTONS,TONS,0.036644008
2022-06-18 00:00:00,LAKE-1,NOXTONS,TONS,0.046856674
2022-06-19 00:00:00,LAKE-1,NOXTONS,TONS,0.040380332
2022-06-24 00:00:00,LAKE-1,NOXTONS,TONS,0.05209256
2022-06-25 00:00:00,LAKE-1,NOXTONS,TONS,0.019209772
2022-06-26 00:00:00,LAKE-1,NOXTONS,TONS,0.03389634
2022-06-28 00:00:00,LAKE-1,NOXTONS,TONS,0.026704674
2022-06-29 00:00:00,LAKE-1,NOXTONS,TONS,0.02121156
2022-06-30 00:00:00,LAKE-1,NOXTONS,TONS,0.033665033
2022-07-01 00:00:00,LAKE-1,NOXTONS,TONS,0.030828077
2022-07-03 00:00:00,LAKE-1,NOXTONS,TONS,0.015037117
2022-07-04 00:00:00,LAKE-1,NOXTONS,TONS,0.015702141
2022-07-05 00:00:00,LAKE-1,NOXTONS,TONS,0.011896414
2022-07-06 00:00:00,LAKE-1,NOXTONS,TONS,0.045806415
2022-07-07 00:00:00,LAKE-1,NOXTONS,TONS,0.054581345
2022-07-08 00:00:00,LAKE-1,NOXTONS,TONS,0.043592275
2022-07-09 00:00:00,LAKE-1,NOXTONS,TONS,0.046498525
2022-07-10 00:00:00,LAKE-1,NOXTONS,TONS,0.050238207
2022-07-11 00:00:00,LAKE-1,NOXTONS,TONS,0.044460735
2022-07-12 00:00:00,LAKE-1,NOXTONS,TONS,0.034365219
2022-07-14 00:00:00,LAKE-1,NOXTONS,TONS,0.050296875
2022-07-15 00:00:00,LAKE-1,NOXTONS,TONS,0.056852214
2022-07-16 00:00:00,LAKE-1,NOXTONS,TONS,0.063095987
2022-07-17 00:00:00,LAKE-1,NOXTONS,TONS,0.061484832
2022-07-18 00:00:00,LAKE-1,NOXTONS,TONS,0.042014524
2022-07-19 00:00:00,LAKE-1,NOXTONS,TONS,0.03123209
2022-07-20 00:00:00,LAKE-1,NOXTONS,TONS,0.037033937
2022-07-21 00:00:00,LAKE-1,NOXTONS,TONS,0.037182473
2022-07-22 00:00:00,LAKE-1,NOXTONS,TONS,0.040639267
2022-07-23 00:00:00,LAKE-1,NOXTONS,TONS,0.039594184
2022-07-25 00:00:00,LAKE-1,NOXTONS,TONS,0.030435536
2022-07-26 00:00:00,LAKE-1,NOXTONS,TONS,0.008596026
2022-07-28 00:00:00,LAKE-1,NOXTONS,TONS,0.045223699
