TimeStamp,Source,Parameter,Units,Value
2022-01-10 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6223.973794
2022-01-11 00:00:00,LAKE-2,GFLOW_BA,100SCFH,4313.311596
2022-01-12 00:00:00,LAKE-2,GFLOW_BA,100SCFH,4405.626768
2022-01-26 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6459.08185
2022-02-02 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6503.351897
2022-02-03 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5964.436612
2022-02-04 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5846.313103
2022-02-05 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5623.189741
2022-02-06 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5416.476873
2022-02-07 00:00:00,LAKE-2,GFLOW_BA,100SCFH,2208.283262
2022-02-23 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6335.109119
2022-02-24 00:00:00,LAKE-2,GFLOW_BA,100SCFH,2487.7063
2022-03-02 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5227.225979
2022-03-03 00:00:00,LAKE-2,GFLOW_BA,100SCFH,163.176728
2022-03-22 00:00:00,LAKE-2,GFLOW_BA,100SCFH,1894.541128
2022-03-23 00:00:00,LAKE-2,GFLOW_BA,100SCFH,125.72972
2022-03-25 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5661.447793
2022-03-26 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5810.253597
2022-03-27 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5943.809711
2022-03-28 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6644.976057
2022-03-29 00:00:00,LAKE-2,GFLOW_BA,100SCFH,2932.500097
2022-03-30 00:00:00,LAKE-2,GFLOW_BA,100SCFH,4322.481328
2022-03-31 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5173.173861
2022-04-09 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6871.23395
2022-04-10 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6651.996771
2022-04-11 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6092.313397
2022-04-12 00:00:00,LAKE-2,GFLOW_BA,100SCFH,1050.40265
2022-04-14 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5613.570406
2022-04-15 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6879.283722
2022-04-16 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6146.746994
2022-04-17 00:00:00,LAKE-2,GFLOW_BA,100SCFH,4954.783851
2022-04-18 00:00:00,LAKE-2,GFLOW_BA,100SCFH,6763.262879
2022-04-19 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5913.430077
2022-04-20 00:00:00,LAKE-2,GFLOW_BA,100SCFH,5937.033534
