TimeStamp,Source,Parameter,Units,Value
2022-01-10 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,646.55
2022-01-11 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,448.0714286
2022-01-12 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,457.68
2022-01-26 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,670.9875
2022-02-02 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,680.3857143
2022-02-03 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,624
2022-02-04 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,611.645
2022-02-05 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,588.3
2022-02-06 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,566.6714286
2022-02-07 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,231.0666667
2022-02-23 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,662.7764706
2022-02-24 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,260.3
2022-03-02 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,535.6857143
2022-03-03 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,16.7
2022-03-22 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,194.15
2022-03-23 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,12.9
2022-03-25 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,580.1818182
2022-03-26 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,595.44
2022-03-27 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,609.1125
2022-03-28 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,680.9818182
2022-03-29 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,300.55
2022-03-30 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,442.9571429
2022-03-31 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,530.1666667
2022-04-09 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,704.65
2022-04-10 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,682.1583333
2022-04-11 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,624.7777778
2022-04-12 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,107.7
2022-04-14 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,575.6571429
2022-04-15 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,705.4666667
2022-04-16 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,630.33
2022-04-17 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,508.1125
2022-04-18 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,693.5818182
2022-04-19 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,606.4166667
2022-04-20 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,608.8538462
2022-04-21 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,532.1785714
2022-04-22 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,587.1466667
2022-04-23 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,553.325
2022-04-24 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,649.96
2022-04-25 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,694.02
2022-04-26 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,654.7909091
2022-04-27 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,675.1388889
2022-04-28 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,692.30625
2022-04-29 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,727.8125
2022-04-30 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,652.9166667
2022-05-01 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,595.7181818
2022-05-02 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,672.9666667
2022-05-03 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,632.95
2022-05-04 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,654.4291667
2022-05-05 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,641.99
2022-05-06 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,598
2022-05-07 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,658.9111111
2022-05-09 00:00:00,LAKE-2,HEATINBA,MMBTU/HR,604.1
