TimeStamp,Source,Parameter,Units,Value
2021-10-30 00:00:00,LAKE-2,NOXTONS,TONS,0.029617657
2021-11-01 00:00:00,LAKE-2,NOXTONS,TONS,0.043654269
2021-11-02 00:00:00,LAKE-2,NOXTONS,TONS,0.000814203
2021-12-01 00:00:00,LAKE-2,NOXTONS,TONS,0.000566643
2021-12-02 00:00:00,LAKE-2,NOXTONS,TONS,0.000364588
2021-12-05 00:00:00,LAKE-2,NOXTONS,TONS,0.018640579
2021-12-06 00:00:00,LAKE-2,NOXTONS,TONS,0.067882822
2021-12-07 00:00:00,LAKE-2,NOXTONS,TONS,0.045194041
2021-12-08 00:00:00,LAKE-2,NOXTONS,TONS,0.033578546
2021-12-09 00:00:00,LAKE-2,NOXTONS,TONS,0.059563672
2021-12-17 00:00:00,LAKE-2,NOXTONS,TONS,0.041371835
2021-12-18 00:00:00,LAKE-2,NOXTONS,TONS,0.00120097
2021-12-27 00:00:00,LAKE-2,NOXTONS,TONS,0.015377795
2022-01-10 00:00:00,LAKE-2,NOXTONS,TONS,0.031383239
2022-01-11 00:00:00,LAKE-2,NOXTONS,TONS,0.017820261
2022-01-12 00:00:00,LAKE-2,NOXTONS,TONS,0.013730863
2022-01-26 00:00:00,LAKE-2,NOXTONS,TONS,0.03246185
2022-02-02 00:00:00,LAKE-2,NOXTONS,TONS,0.031907931
2022-02-03 00:00:00,LAKE-2,NOXTONS,TONS,0.085812473
2022-02-04 00:00:00,LAKE-2,NOXTONS,TONS,0.075751419
2022-02-05 00:00:00,LAKE-2,NOXTONS,TONS,0.026828399
2022-02-06 00:00:00,LAKE-2,NOXTONS,TONS,0.026268826
2022-02-07 00:00:00,LAKE-2,NOXTONS,TONS,0.004624758
2022-02-23 00:00:00,LAKE-2,NOXTONS,TONS,0.069539195
2022-02-24 00:00:00,LAKE-2,NOXTONS,TONS,0.000740981
2022-03-02 00:00:00,LAKE-2,NOXTONS,TONS,0.022764186
2022-03-03 00:00:00,LAKE-2,NOXTONS,TONS,0.000162491
2022-03-22 00:00:00,LAKE-2,NOXTONS,TONS,0.049576063
2022-03-23 00:00:00,LAKE-2,NOXTONS,TONS,7.78317E-05
2022-03-25 00:00:00,LAKE-2,NOXTONS,TONS,0.035746506
2022-03-26 00:00:00,LAKE-2,NOXTONS,TONS,0.069250092
2022-03-27 00:00:00,LAKE-2,NOXTONS,TONS,0.053895428
2022-03-28 00:00:00,LAKE-2,NOXTONS,TONS,0.082303061
2022-03-29 00:00:00,LAKE-2,NOXTONS,TONS,0.006817699
2022-03-30 00:00:00,LAKE-2,NOXTONS,TONS,0.017598333
2022-03-31 00:00:00,LAKE-2,NOXTONS,TONS,0.020331721
2022-04-09 00:00:00,LAKE-2,NOXTONS,TONS,0.039846732
2022-04-10 00:00:00,LAKE-2,NOXTONS,TONS,0.044856693
2022-04-11 00:00:00,LAKE-2,NOXTONS,TONS,0.035659067
2022-04-12 00:00:00,LAKE-2,NOXTONS,TONS,0.000140455
2022-04-14 00:00:00,LAKE-2,NOXTONS,TONS,0.024155687
2022-04-15 00:00:00,LAKE-2,NOXTONS,TONS,0.037397268
2022-04-16 00:00:00,LAKE-2,NOXTONS,TONS,0.037188801
2022-04-17 00:00:00,LAKE-2,NOXTONS,TONS,0.022992294
2022-04-18 00:00:00,LAKE-2,NOXTONS,TONS,0.045768391
2022-04-19 00:00:00,LAKE-2,NOXTONS,TONS,0.080614804
2022-04-20 00:00:00,LAKE-2,NOXTONS,TONS,0.048387878
2022-04-21 00:00:00,LAKE-2,NOXTONS,TONS,0.041578748
2022-04-22 00:00:00,LAKE-2,NOXTONS,TONS,0.050228481
2022-04-23 00:00:00,LAKE-2,NOXTONS,TONS,0.023963641
2022-04-24 00:00:00,LAKE-2,NOXTONS,TONS,0.036020081
2022-04-25 00:00:00,LAKE-2,NOXTONS,TONS,0.040374777
2022-04-26 00:00:00,LAKE-2,NOXTONS,TONS,0.042530939
2022-04-27 00:00:00,LAKE-2,NOXTONS,TONS,0.067620138
2022-04-28 00:00:00,LAKE-2,NOXTONS,TONS,0.064685291
2022-04-29 00:00:00,LAKE-2,NOXTONS,TONS,0.096808512
2022-04-30 00:00:00,LAKE-2,NOXTONS,TONS,0.08634233
2022-05-01 00:00:00,LAKE-2,NOXTONS,TONS,0.081566894
2022-05-02 00:00:00,LAKE-2,NOXTONS,TONS,0.092619609
2022-05-03 00:00:00,LAKE-2,NOXTONS,TONS,0.052342321
2022-05-04 00:00:00,LAKE-2,NOXTONS,TONS,0.085999741
2022-05-05 00:00:00,LAKE-2,NOXTONS,TONS,0.037653265
2022-05-06 00:00:00,LAKE-2,NOXTONS,TONS,0.037456775
2022-05-07 00:00:00,LAKE-2,NOXTONS,TONS,0.03688618
2022-05-09 00:00:00,LAKE-2,NOXTONS,TONS,0.036491002
2022-05-10 00:00:00,LAKE-2,NOXTONS,TONS,0.029722904
2022-05-11 00:00:00,LAKE-2,NOXTONS,TONS,0.034492192
2022-05-12 00:00:00,LAKE-2,NOXTONS,TONS,0.0369564
2022-05-13 00:00:00,LAKE-2,NOXTONS,TONS,0.021496228
2022-05-14 00:00:00,LAKE-2,NOXTONS,TONS,0.019541958
2022-05-15 00:00:00,LAKE-2,NOXTONS,TONS,0.030634147
2022-05-16 00:00:00,LAKE-2,NOXTONS,TONS,0.025012919
2022-05-17 00:00:00,LAKE-2,NOXTONS,TONS,0.036622391
2022-05-18 00:00:00,LAKE-2,NOXTONS,TONS,0.026562733
2022-05-19 00:00:00,LAKE-2,NOXTONS,TONS,0.038384713
2022-05-20 00:00:00,LAKE-2,NOXTONS,TONS,0.032203263
2022-05-21 00:00:00,LAKE-2,NOXTONS,TONS,0.033284324
2022-05-23 00:00:00,LAKE-2,NOXTONS,TONS,0.024023699
2022-05-24 00:00:00,LAKE-2,NOXTONS,TONS,0.022158729
2022-05-25 00:00:00,LAKE-2,NOXTONS,TONS,0.046343888
2022-05-26 00:00:00,LAKE-2,NOXTONS,TONS,0.046839111
2022-05-27 00:00:00,LAKE-2,NOXTONS,TONS,0.035417713
2022-05-28 00:00:00,LAKE-2,NOXTONS,TONS,0.038715731
2022-05-30 00:00:00,LAKE-2,NOXTONS,TONS,0.029239202
2022-05-31 00:00:00,LAKE-2,NOXTONS,TONS,0.025795042
2022-06-01 00:00:00,LAKE-2,NOXTONS,TONS,0.03442954
2022-06-02 00:00:00,LAKE-2,NOXTONS,TONS,0.054152386
2022-06-03 00:00:00,LAKE-2,NOXTONS,TONS,0.032869122
2022-06-04 00:00:00,LAKE-2,NOXTONS,TONS,0.006727204
2022-06-05 00:00:00,LAKE-2,NOXTONS,TONS,0.002833217
2022-06-06 00:00:00,LAKE-2,NOXTONS,TONS,0.043343014
2022-06-07 00:00:00,LAKE-2,NOXTONS,TONS,0.064017368
2022-06-08 00:00:00,LAKE-2,NOXTONS,TONS,0.064919348
2022-06-09 00:00:00,LAKE-2,NOXTONS,TONS,0.056849086
2022-06-10 00:00:00,LAKE-2,NOXTONS,TONS,0.064102212
2022-06-11 00:00:00,LAKE-2,NOXTONS,TONS,0.077224662
2022-06-12 00:00:00,LAKE-2,NOXTONS,TONS,0.050304842
2022-06-13 00:00:00,LAKE-2,NOXTONS,TONS,0.052753427
2022-06-14 00:00:00,LAKE-2,NOXTONS,TONS,0.051716796
2022-06-15 00:00:00,LAKE-2,NOXTONS,TONS,0.047080565
2022-06-16 00:00:00,LAKE-2,NOXTONS,TONS,0.031395469
2022-06-17 00:00:00,LAKE-2,NOXTONS,TONS,0.042013174
2022-06-18 00:00:00,LAKE-2,NOXTONS,TONS,0.03096278
2022-06-19 00:00:00,LAKE-2,NOXTONS,TONS,0.030049187
2022-06-20 00:00:00,LAKE-2,NOXTONS,TONS,0.041028971
2022-06-22 00:00:00,LAKE-2,NOXTONS,TONS,0.027868059
2022-06-23 00:00:00,LAKE-2,NOXTONS,TONS,0.01459942
2022-06-28 00:00:00,LAKE-2,NOXTONS,TONS,0.043223625
2022-06-29 00:00:00,LAKE-2,NOXTONS,TONS,0.055057715
2022-06-30 00:00:00,LAKE-2,NOXTONS,TONS,0.040097928
2022-07-01 00:00:00,LAKE-2,NOXTONS,TONS,0.058583689
2022-07-02 00:00:00,LAKE-2,NOXTONS,TONS,0.054635071
2022-07-03 00:00:00,LAKE-2,NOXTONS,TONS,0.047747088
2022-07-04 00:00:00,LAKE-2,NOXTONS,TONS,0.041730471
2022-07-05 00:00:00,LAKE-2,NOXTONS,TONS,0.051295167
2022-07-06 00:00:00,LAKE-2,NOXTONS,TONS,0.046123918
2022-07-07 00:00:00,LAKE-2,NOXTONS,TONS,0.024150215
2022-07-08 00:00:00,LAKE-2,NOXTONS,TONS,0.040841844
2022-07-09 00:00:00,LAKE-2,NOXTONS,TONS,0.047999328
2022-07-10 00:00:00,LAKE-2,NOXTONS,TONS,0.034403182
2022-07-11 00:00:00,LAKE-2,NOXTONS,TONS,0.049231512
2022-07-13 00:00:00,LAKE-2,NOXTONS,TONS,0.0229958
2022-07-14 00:00:00,LAKE-2,NOXTONS,TONS,0.045667326
2022-07-15 00:00:00,LAKE-2,NOXTONS,TONS,0.052902799
2022-07-16 00:00:00,LAKE-2,NOXTONS,TONS,0.057680298
2022-07-17 00:00:00,LAKE-2,NOXTONS,TONS,0.059062366
2022-07-18 00:00:00,LAKE-2,NOXTONS,TONS,0.053858119
2022-07-19 00:00:00,LAKE-2,NOXTONS,TONS,0.060988652
2022-07-20 00:00:00,LAKE-2,NOXTONS,TONS,0.064768163
2022-07-21 00:00:00,LAKE-2,NOXTONS,TONS,0.042221441
2022-07-22 00:00:00,LAKE-2,NOXTONS,TONS,0.032578118
2022-07-23 00:00:00,LAKE-2,NOXTONS,TONS,0.019712873
2022-07-24 00:00:00,LAKE-2,NOXTONS,TONS,0.04336588
2022-07-25 00:00:00,LAKE-2,NOXTONS,TONS,0.043939441
2022-07-26 00:00:00,LAKE-2,NOXTONS,TONS,0.052875997
2022-07-27 00:00:00,LAKE-2,NOXTONS,TONS,0.049370903
2022-07-28 00:00:00,LAKE-2,NOXTONS,TONS,0.055463968
2022-07-29 00:00:00,LAKE-2,NOXTONS,TONS,0.053525204
2022-07-30 00:00:00,LAKE-2,NOXTONS,TONS,0.048882129
2022-07-31 00:00:00,LAKE-2,NOXTONS,TONS,0.047554631
2022-08-01 00:00:00,LAKE-2,NOXTONS,TONS,0.046475474
2022-08-02 00:00:00,LAKE-2,NOXTONS,TONS,0.05813393
2022-08-03 00:00:00,LAKE-2,NOXTONS,TONS,0.039857431
2022-08-04 00:00:00,LAKE-2,NOXTONS,TONS,0.039868737
2022-08-05 00:00:00,LAKE-2,NOXTONS,TONS,0.053879518
2022-08-06 00:00:00,LAKE-2,NOXTONS,TONS,0.071697921
2022-08-07 00:00:00,LAKE-2,NOXTONS,TONS,0.054210744
2022-08-08 00:00:00,LAKE-2,NOXTONS,TONS,0.0192714
2022-08-09 00:00:00,LAKE-2,NOXTONS,TONS,0.033072619
2022-08-10 00:00:00,LAKE-2,NOXTONS,TONS,0.036302031
2022-08-12 00:00:00,LAKE-2,NOXTONS,TONS,0.034573783
2022-08-14 00:00:00,LAKE-2,NOXTONS,TONS,0.035372301
2022-08-15 00:00:00,LAKE-2,NOXTONS,TONS,0.001716269
2022-08-16 00:00:00,LAKE-2,NOXTONS,TONS,0.054927048
2022-08-17 00:00:00,LAKE-2,NOXTONS,TONS,0.00596049
2022-08-22 00:00:00,LAKE-2,NOXTONS,TONS,0.031682239
2022-08-23 00:00:00,LAKE-2,NOXTONS,TONS,0.002876382
2022-08-25 00:00:00,LAKE-2,NOXTONS,TONS,0.02383296
2022-08-26 00:00:00,LAKE-2,NOXTONS,TONS,0.047632877
2022-08-27 00:00:00,LAKE-2,NOXTONS,TONS,0.03539799
2022-08-28 00:00:00,LAKE-2,NOXTONS,TONS,0.048634869
2022-08-29 00:00:00,LAKE-2,NOXTONS,TONS,0.02819004
2022-09-02 00:00:00,LAKE-2,NOXTONS,TONS,0.046132385
2022-09-03 00:00:00,LAKE-2,NOXTONS,TONS,0.042189268
2022-09-04 00:00:00,LAKE-2,NOXTONS,TONS,0.033395098
2022-09-05 00:00:00,LAKE-2,NOXTONS,TONS,0.036821663
2022-09-06 00:00:00,LAKE-2,NOXTONS,TONS,0.05002528
2022-09-07 00:00:00,LAKE-2,NOXTONS,TONS,0.0487551
2022-09-08 00:00:00,LAKE-2,NOXTONS,TONS,0.045480695
2022-09-09 00:00:00,LAKE-2,NOXTONS,TONS,0.048620457
2022-09-10 00:00:00,LAKE-2,NOXTONS,TONS,0.038914422
2022-09-11 00:00:00,LAKE-2,NOXTONS,TONS,0.007256611
2022-09-12 00:00:00,LAKE-2,NOXTONS,TONS,0.039761598
2022-09-13 00:00:00,LAKE-2,NOXTONS,TONS,0.041715793
2022-09-14 00:00:00,LAKE-2,NOXTONS,TONS,0.032604219
2022-09-15 00:00:00,LAKE-2,NOXTONS,TONS,0.044939282
2022-09-16 00:00:00,LAKE-2,NOXTONS,TONS,0.029330103
2022-09-20 00:00:00,LAKE-2,NOXTONS,TONS,0.02705495
2022-09-21 00:00:00,LAKE-2,NOXTONS,TONS,0.032475221
2022-09-22 00:00:00,LAKE-2,NOXTONS,TONS,0.031523334
2022-09-24 00:00:00,LAKE-2,NOXTONS,TONS,0.033783727
2022-09-26 00:00:00,LAKE-2,NOXTONS,TONS,0.02128108
2022-09-27 00:00:00,LAKE-2,NOXTONS,TONS,0.046501775
2022-09-28 00:00:00,LAKE-2,NOXTONS,TONS,0.035384213
2022-10-04 00:00:00,LAKE-2,NOXTONS,TONS,0.031343533
2022-10-05 00:00:00,LAKE-2,NOXTONS,TONS,0.036095746
2022-10-08 00:00:00,LAKE-2,NOXTONS,TONS,0.026039854
2022-10-09 00:00:00,LAKE-2,NOXTONS,TONS,0.034814643
2022-10-10 00:00:00,LAKE-2,NOXTONS,TONS,0.031942852
2022-10-11 00:00:00,LAKE-2,NOXTONS,TONS,0.040508969
2022-10-12 00:00:00,LAKE-2,NOXTONS,TONS,0.042218532
2022-10-13 00:00:00,LAKE-2,NOXTONS,TONS,0.045410014
2022-10-14 00:00:00,LAKE-2,NOXTONS,TONS,0.043621773
2022-10-15 00:00:00,LAKE-2,NOXTONS,TONS,0.047576767
2022-10-16 00:00:00,LAKE-2,NOXTONS,TONS,0.038164643
2022-10-17 00:00:00,LAKE-2,NOXTONS,TONS,0.033932233
2022-10-18 00:00:00,LAKE-2,NOXTONS,TONS,0.015741902
2022-10-19 00:00:00,LAKE-2,NOXTONS,TONS,0.013066581
2022-10-22 00:00:00,LAKE-2,NOXTONS,TONS,0.012981337
2022-10-26 00:00:00,LAKE-2,NOXTONS,TONS,0.052449291
2022-10-27 00:00:00,LAKE-2,NOXTONS,TONS,0.056527111
2022-10-28 00:00:00,LAKE-2,NOXTONS,TONS,0.034338016
2022-10-29 00:00:00,LAKE-2,NOXTONS,TONS,0.013639264
2022-11-03 00:00:00,LAKE-2,NOXTONS,TONS,0.020489505
2022-11-07 00:00:00,LAKE-2,NOXTONS,TONS,0.015026598
2022-11-08 00:00:00,LAKE-2,NOXTONS,TONS,0.045754753
2022-11-09 00:00:00,LAKE-2,NOXTONS,TONS,0.038168651
2022-11-10 00:00:00,LAKE-2,NOXTONS,TONS,3.28909E-07
2022-11-14 00:00:00,LAKE-2,NOXTONS,TONS,0.03701001
2022-11-15 00:00:00,LAKE-2,NOXTONS,TONS,0.074982311
2022-11-16 00:00:00,LAKE-2,NOXTONS,TONS,0.06431567
2022-11-17 00:00:00,LAKE-2,NOXTONS,TONS,0.067762956
2022-11-18 00:00:00,LAKE-2,NOXTONS,TONS,0.067342501
2022-11-19 00:00:00,LAKE-2,NOXTONS,TONS,0.081059275
2022-11-20 00:00:00,LAKE-2,NOXTONS,TONS,0.080255649
2022-11-21 00:00:00,LAKE-2,NOXTONS,TONS,0.078812237
2022-11-22 00:00:00,LAKE-2,NOXTONS,TONS,0.052053193
2022-11-23 00:00:00,LAKE-2,NOXTONS,TONS,0.037956994
2022-11-24 00:00:00,LAKE-2,NOXTONS,TONS,0.02954458
2022-11-25 00:00:00,LAKE-2,NOXTONS,TONS,0.038878711
2022-11-27 00:00:00,LAKE-2,NOXTONS,TONS,0.02953895
2022-11-28 00:00:00,LAKE-2,NOXTONS,TONS,0.022244741
2022-11-29 00:00:00,LAKE-2,NOXTONS,TONS,0.028552674
2022-11-30 00:00:00,LAKE-2,NOXTONS,TONS,0.032827078
2022-12-01 00:00:00,LAKE-2,NOXTONS,TONS,0.029815543
2022-12-02 00:00:00,LAKE-2,NOXTONS,TONS,0.087560974
2022-12-03 00:00:00,LAKE-2,NOXTONS,TONS,0.04102653
2022-12-04 00:00:00,LAKE-2,NOXTONS,TONS,0.034655875
2022-12-05 00:00:00,LAKE-2,NOXTONS,TONS,0.076492902
2022-12-06 00:00:00,LAKE-2,NOXTONS,TONS,0.070607228
2022-12-07 00:00:00,LAKE-2,NOXTONS,TONS,0.059200283
2022-12-08 00:00:00,LAKE-2,NOXTONS,TONS,0.073460563
2022-12-09 00:00:00,LAKE-2,NOXTONS,TONS,0.025169156
2022-12-10 00:00:00,LAKE-2,NOXTONS,TONS,0.059178256
2022-12-11 00:00:00,LAKE-2,NOXTONS,TONS,0.031006966
2022-12-17 00:00:00,LAKE-2,NOXTONS,TONS,0.00138049
2022-12-18 00:00:00,LAKE-2,NOXTONS,TONS,0.038944182
2022-12-19 00:00:00,LAKE-2,NOXTONS,TONS,0.017496608
2022-12-20 00:00:00,LAKE-2,NOXTONS,TONS,0.072175027
2022-12-21 00:00:00,LAKE-2,NOXTONS,TONS,0.008101949
2022-12-22 00:00:00,LAKE-2,NOXTONS,TONS,0.030466224
2022-12-23 00:00:00,LAKE-2,NOXTONS,TONS,0.085052479
2022-12-24 00:00:00,LAKE-2,NOXTONS,TONS,0.067318641
2022-12-25 00:00:00,LAKE-2,NOXTONS,TONS,0.031032919
2022-12-26 00:00:00,LAKE-2,NOXTONS,TONS,0.023403379
2022-12-27 00:00:00,LAKE-2,NOXTONS,TONS,0.093711276
2022-12-28 00:00:00,LAKE-2,NOXTONS,TONS,0.042160556
2023-01-02 00:00:00,LAKE-2,NOXTONS,TONS,0.016031512
2023-01-06 00:00:00,LAKE-2,NOXTONS,TONS,0.027523141
2023-01-07 00:00:00,LAKE-2,NOXTONS,TONS,0.040641593
2023-01-10 00:00:00,LAKE-2,NOXTONS,TONS,0.027875786
2023-01-11 00:00:00,LAKE-2,NOXTONS,TONS,0.032422381
2023-01-12 00:00:00,LAKE-2,NOXTONS,TONS,0.061944498
2023-01-13 00:00:00,LAKE-2,NOXTONS,TONS,0.049845749
2023-01-14 00:00:00,LAKE-2,NOXTONS,TONS,0.072749942
2023-01-15 00:00:00,LAKE-2,NOXTONS,TONS,0.043545152
2023-01-16 00:00:00,LAKE-2,NOXTONS,TONS,0.073257718
2023-01-17 00:00:00,LAKE-2,NOXTONS,TONS,0.092748088
2023-01-18 00:00:00,LAKE-2,NOXTONS,TONS,0.076560485
2023-01-19 00:00:00,LAKE-2,NOXTONS,TONS,0.062929721
2023-01-20 00:00:00,LAKE-2,NOXTONS,TONS,0.040976539
2023-01-21 00:00:00,LAKE-2,NOXTONS,TONS,0.054124783
2023-01-22 00:00:00,LAKE-2,NOXTONS,TONS,0.023892621
2023-01-23 00:00:00,LAKE-2,NOXTONS,TONS,0.049524151
2023-01-24 00:00:00,LAKE-2,NOXTONS,TONS,0.046853821
2023-01-25 00:00:00,LAKE-2,NOXTONS,TONS,0.087146193
2023-01-26 00:00:00,LAKE-2,NOXTONS,TONS,0.08788329
2023-01-27 00:00:00,LAKE-2,NOXTONS,TONS,0.070354265
2023-01-28 00:00:00,LAKE-2,NOXTONS,TONS,0.055015802
2023-01-29 00:00:00,LAKE-2,NOXTONS,TONS,0.044995329
2023-01-30 00:00:00,LAKE-2,NOXTONS,TONS,0.070015938
2023-01-31 00:00:00,LAKE-2,NOXTONS,TONS,0.051811423
2023-02-01 00:00:00,LAKE-2,NOXTONS,TONS,0.063381973
2023-02-02 00:00:00,LAKE-2,NOXTONS,TONS,0.049702746
2023-02-03 00:00:00,LAKE-2,NOXTONS,TONS,0.053815139
2023-02-04 00:00:00,LAKE-2,NOXTONS,TONS,0.048533626
2023-02-05 00:00:00,LAKE-2,NOXTONS,TONS,0.0282544
2023-02-06 00:00:00,LAKE-2,NOXTONS,TONS,0.050026653
2023-02-07 00:00:00,LAKE-2,NOXTONS,TONS,0.03230469
2023-02-08 00:00:00,LAKE-2,NOXTONS,TONS,0.0339004
2023-02-09 00:00:00,LAKE-2,NOXTONS,TONS,0.043612448
2023-02-10 00:00:00,LAKE-2,NOXTONS,TONS,0.051592619
2023-02-11 00:00:00,LAKE-2,NOXTONS,TONS,0.032853796
2023-02-13 00:00:00,LAKE-2,NOXTONS,TONS,0.021090304
2023-02-14 00:00:00,LAKE-2,NOXTONS,TONS,0.065667109
2023-02-15 00:00:00,LAKE-2,NOXTONS,TONS,0.081915435
2023-02-16 00:00:00,LAKE-2,NOXTONS,TONS,0.063343811
2023-02-17 00:00:00,LAKE-2,NOXTONS,TONS,0.087040776
2023-02-18 00:00:00,LAKE-2,NOXTONS,TONS,0.099320131
2023-02-19 00:00:00,LAKE-2,NOXTONS,TONS,0.101842751
2023-02-20 00:00:00,LAKE-2,NOXTONS,TONS,0.101566439
2023-02-21 00:00:00,LAKE-2,NOXTONS,TONS,0.011137757
