TimeStamp,Source,Parameter,Units,Value
2022-01-10 00:00:00,LAKE-2,UNITONBA,MIN,56.625
2022-01-11 00:00:00,LAKE-2,UNITONBA,MIN,45
2022-01-12 00:00:00,LAKE-2,UNITONBA,MIN,48.6
2022-01-26 00:00:00,LAKE-2,UNITONBA,MIN,55.625
2022-02-02 00:00:00,LAKE-2,UNITONBA,MIN,58.28571429
2022-02-03 00:00:00,LAKE-2,UNITONBA,MIN,56.95833333
2022-02-04 00:00:00,LAKE-2,UNITONBA,MIN,57.75
2022-02-05 00:00:00,LAKE-2,UNITONBA,MIN,52.42857143
2022-02-06 00:00:00,LAKE-2,UNITONBA,MIN,50.85714286
2022-02-07 00:00:00,LAKE-2,UNITONBA,MIN,31.66666667
2022-02-23 00:00:00,LAKE-2,UNITONBA,MIN,57
2022-02-24 00:00:00,LAKE-2,UNITONBA,MIN,35
2022-03-02 00:00:00,LAKE-2,UNITONBA,MIN,49.28571429
2022-03-03 00:00:00,LAKE-2,UNITONBA,MIN,9
2022-03-22 00:00:00,LAKE-2,UNITONBA,MIN,34.25
2022-03-23 00:00:00,LAKE-2,UNITONBA,MIN,6
2022-03-25 00:00:00,LAKE-2,UNITONBA,MIN,51.27272727
2022-03-26 00:00:00,LAKE-2,UNITONBA,MIN,56.25
2022-03-27 00:00:00,LAKE-2,UNITONBA,MIN,55.375
2022-03-28 00:00:00,LAKE-2,UNITONBA,MIN,59.90909091
2022-03-29 00:00:00,LAKE-2,UNITONBA,MIN,41.5
2022-03-30 00:00:00,LAKE-2,UNITONBA,MIN,45.28571429
2022-03-31 00:00:00,LAKE-2,UNITONBA,MIN,51
2022-04-09 00:00:00,LAKE-2,UNITONBA,MIN,56.3
2022-04-10 00:00:00,LAKE-2,UNITONBA,MIN,54.83333333
2022-04-11 00:00:00,LAKE-2,UNITONBA,MIN,58.77777778
2022-04-12 00:00:00,LAKE-2,UNITONBA,MIN,18
2022-04-14 00:00:00,LAKE-2,UNITONBA,MIN,52.85714286
2022-04-15 00:00:00,LAKE-2,UNITONBA,MIN,57.66666667
2022-04-16 00:00:00,LAKE-2,UNITONBA,MIN,52.4
2022-04-17 00:00:00,LAKE-2,UNITONBA,MIN,46.875
2022-04-18 00:00:00,LAKE-2,UNITONBA,MIN,59.09090909
2022-04-19 00:00:00,LAKE-2,UNITONBA,MIN,60
2022-04-20 00:00:00,LAKE-2,UNITONBA,MIN,56.92307692
2022-04-21 00:00:00,LAKE-2,UNITONBA,MIN,56.28571429
