TimeStamp,Source,Parameter,Units,Value
2021-10-29 00:00:00,LAKE-3,SO2TONS,TONS,6.05001E-05
2021-10-30 00:00:00,LAKE-3,SO2TONS,TONS,0.000418437
2021-10-31 00:00:00,LAKE-3,SO2TONS,TONS,0.002179218
2021-11-01 00:00:00,LAKE-3,SO2TONS,TONS,0.003416237
2021-11-02 00:00:00,LAKE-3,SO2TONS,TONS,0.00472236
2021-11-03 00:00:00,LAKE-3,SO2TONS,TONS,0.00454398
2021-11-04 00:00:00,LAKE-3,SO2TONS,TONS,1.14432E-05
2021-11-05 00:00:00,LAKE-3,SO2TONS,TONS,0.001535933
2021-11-06 00:00:00,LAKE-3,SO2TONS,TONS,0.001703262
2021-11-07 00:00:00,LAKE-3,SO2TONS,TONS,0.001882617
2021-11-08 00:00:00,LAKE-3,SO2TONS,TONS,0.002013806
2021-11-09 00:00:00,LAKE-3,SO2TONS,TONS,0.001953635
2021-11-10 00:00:00,LAKE-3,SO2TONS,TONS,0.001576875
2021-11-11 00:00:00,LAKE-3,SO2TONS,TONS,0.001921615
2021-11-12 00:00:00,LAKE-3,SO2TONS,TONS,0.001512681
2021-11-13 00:00:00,LAKE-3,SO2TONS,TONS,0.001105316
2021-11-14 00:00:00,LAKE-3,SO2TONS,TONS,0.001082311
2021-11-15 00:00:00,LAKE-3,SO2TONS,TONS,0.001158098
2021-11-16 00:00:00,LAKE-3,SO2TONS,TONS,0.002280639
2021-11-17 00:00:00,LAKE-3,SO2TONS,TONS,0.002763087
2021-11-18 00:00:00,LAKE-3,SO2TONS,TONS,0.000981678
2021-11-28 00:00:00,LAKE-3,SO2TONS,TONS,0.000816386
2021-12-01 00:00:00,LAKE-3,SO2TONS,TONS,3.76839E-05
2021-12-03 00:00:00,LAKE-3,SO2TONS,TONS,0.000005676
2021-12-07 00:00:00,LAKE-3,SO2TONS,TONS,0.000787086
2021-12-08 00:00:00,LAKE-3,SO2TONS,TONS,0.0024806
2021-12-09 00:00:00,LAKE-3,SO2TONS,TONS,0.001902546
2021-12-10 00:00:00,LAKE-3,SO2TONS,TONS,0.00489702
2021-12-11 00:00:00,LAKE-3,SO2TONS,TONS,0.002898497
2021-12-12 00:00:00,LAKE-3,SO2TONS,TONS,0.003481936
2021-12-13 00:00:00,LAKE-3,SO2TONS,TONS,0.001186589
2021-12-14 00:00:00,LAKE-3,SO2TONS,TONS,0.001505535
2021-12-15 00:00:00,LAKE-3,SO2TONS,TONS,0.000418151
2021-12-20 00:00:00,LAKE-3,SO2TONS,TONS,3.67683E-05
2021-12-29 00:00:00,LAKE-3,SO2TONS,TONS,0.001509615
2021-12-30 00:00:00,LAKE-3,SO2TONS,TONS,0.001943767
2021-12-31 00:00:00,LAKE-3,SO2TONS,TONS,0.002013512
2022-01-01 00:00:00,LAKE-3,SO2TONS,TONS,0.001587839
2022-01-02 00:00:00,LAKE-3,SO2TONS,TONS,0.002523506
2022-01-03 00:00:00,LAKE-3,SO2TONS,TONS,0.002781078
2022-01-04 00:00:00,LAKE-3,SO2TONS,TONS,0.00304138
2022-01-05 00:00:00,LAKE-3,SO2TONS,TONS,5.5614E-06
2022-01-08 00:00:00,LAKE-3,SO2TONS,TONS,0.00136402
2022-01-09 00:00:00,LAKE-3,SO2TONS,TONS,0.002913655
2022-01-10 00:00:00,LAKE-3,SO2TONS,TONS,0.003545194
2022-01-11 00:00:00,LAKE-3,SO2TONS,TONS,0.000670933
2022-01-13 00:00:00,LAKE-3,SO2TONS,TONS,0.001549856
2022-01-14 00:00:00,LAKE-3,SO2TONS,TONS,0.000268089
