TimeStamp,Source,Parameter,Units,Value
2021-10-28 00:00:00,LAKE-4,COTONS,TONS,0.010506513
2021-10-29 00:00:00,LAKE-4,COTONS,TONS,0.014773269
2021-10-30 00:00:00,LAKE-4,COTONS,TONS,0.0033886
2021-10-31 00:00:00,LAKE-4,COTONS,TONS,0.001633603
2021-11-01 00:00:00,LAKE-4,COTONS,TONS,0.005088484
2021-11-02 00:00:00,LAKE-4,COTONS,TONS,0.006620091
2021-11-05 00:00:00,LAKE-4,COTONS,TONS,0.00444605
2021-11-06 00:00:00,LAKE-4,COTONS,TONS,0.009545695
2021-11-07 00:00:00,LAKE-4,COTONS,TONS,0.009988875
2021-11-08 00:00:00,LAKE-4,COTONS,TONS,0.0183605
2021-11-09 00:00:00,LAKE-4,COTONS,TONS,0.0163116
2021-11-10 00:00:00,LAKE-4,COTONS,TONS,0.019451
2021-11-11 00:00:00,LAKE-4,COTONS,TONS,0.006884075
2021-11-16 00:00:00,LAKE-4,COTONS,TONS,0.001499978
2021-11-20 00:00:00,LAKE-4,COTONS,TONS,0.000239235
2021-11-30 00:00:00,LAKE-4,COTONS,TONS,0.001220408
2021-12-03 00:00:00,LAKE-4,COTONS,TONS,0.00056978
2021-12-06 00:00:00,LAKE-4,COTONS,TONS,0.007544314
2021-12-09 00:00:00,LAKE-4,COTONS,TONS,0.01254852
2021-12-10 00:00:00,LAKE-4,COTONS,TONS,0.00994932
2021-12-11 00:00:00,LAKE-4,COTONS,TONS,0.000160992
2021-12-12 00:00:00,LAKE-4,COTONS,TONS,0.009555916
2021-12-14 00:00:00,LAKE-4,COTONS,TONS,0.00569619
2021-12-15 00:00:00,LAKE-4,COTONS,TONS,0.0081492
2021-12-16 00:00:00,LAKE-4,COTONS,TONS,0.015067783
2021-12-20 00:00:00,LAKE-4,COTONS,TONS,0.008842964
2021-12-21 00:00:00,LAKE-4,COTONS,TONS,0.013680818
2021-12-22 00:00:00,LAKE-4,COTONS,TONS,0.016041926
2021-12-24 00:00:00,LAKE-4,COTONS,TONS,0.00859501
2021-12-25 00:00:00,LAKE-4,COTONS,TONS,0.00415872
2021-12-26 00:00:00,LAKE-4,COTONS,TONS,0.008671863
2021-12-27 00:00:00,LAKE-4,COTONS,TONS,0.009745054
2021-12-28 00:00:00,LAKE-4,COTONS,TONS,0.010680476
2021-12-29 00:00:00,LAKE-4,COTONS,TONS,0.001042376
2022-01-06 00:00:00,LAKE-4,COTONS,TONS,0.008386515
2022-01-07 00:00:00,LAKE-4,COTONS,TONS,0.009773036
2022-01-08 00:00:00,LAKE-4,COTONS,TONS,0.000259403
2022-01-09 00:00:00,LAKE-4,COTONS,TONS,0.01221622
2022-01-10 00:00:00,LAKE-4,COTONS,TONS,0.026727721
2022-01-11 00:00:00,LAKE-4,COTONS,TONS,0.015513797
2022-01-12 00:00:00,LAKE-4,COTONS,TONS,0.021665525
2022-01-13 00:00:00,LAKE-4,COTONS,TONS,0.014397434
2022-01-14 00:00:00,LAKE-4,COTONS,TONS,0.018937294
2022-01-15 00:00:00,LAKE-4,COTONS,TONS,0.033229272
2022-01-16 00:00:00,LAKE-4,COTONS,TONS,0.034261431
2022-01-17 00:00:00,LAKE-4,COTONS,TONS,0.048393
2022-01-18 00:00:00,LAKE-4,COTONS,TONS,0.04055215
2022-01-19 00:00:00,LAKE-4,COTONS,TONS,0.024867516
2022-01-20 00:00:00,LAKE-4,COTONS,TONS,0.0474487
2022-01-21 00:00:00,LAKE-4,COTONS,TONS,0.033139088
2022-01-22 00:00:00,LAKE-4,COTONS,TONS,0.022539704
2022-01-23 00:00:00,LAKE-4,COTONS,TONS,0.012507728
2022-01-24 00:00:00,LAKE-4,COTONS,TONS,0.030900307
2022-01-25 00:00:00,LAKE-4,COTONS,TONS,0.0439654
2022-01-26 00:00:00,LAKE-4,COTONS,TONS,0.029447885
2022-01-27 00:00:00,LAKE-4,COTONS,TONS,0.038635777
2022-01-28 00:00:00,LAKE-4,COTONS,TONS,0.0542767
2022-01-29 00:00:00,LAKE-4,COTONS,TONS,0.0530465
2022-01-30 00:00:00,LAKE-4,COTONS,TONS,0.052031138
2022-01-31 00:00:00,LAKE-4,COTONS,TONS,0.012117448
2022-02-01 00:00:00,LAKE-4,COTONS,TONS,0.04010062
2022-02-02 00:00:00,LAKE-4,COTONS,TONS,0.00211878
2022-02-03 00:00:00,LAKE-4,COTONS,TONS,0.0314563
2022-02-04 00:00:00,LAKE-4,COTONS,TONS,0.03165005
2022-02-05 00:00:00,LAKE-4,COTONS,TONS,0.021747115
2022-02-06 00:00:00,LAKE-4,COTONS,TONS,0.01027666
2022-02-07 00:00:00,LAKE-4,COTONS,TONS,0.027907467
2022-02-08 00:00:00,LAKE-4,COTONS,TONS,0.028273139
2022-02-09 00:00:00,LAKE-4,COTONS,TONS,0.037808497
2022-02-10 00:00:00,LAKE-4,COTONS,TONS,0.03701229
2022-02-11 00:00:00,LAKE-4,COTONS,TONS,0.03190421
2022-02-12 00:00:00,LAKE-4,COTONS,TONS,0.018600413
2022-02-13 00:00:00,LAKE-4,COTONS,TONS,0.012710133
2022-02-14 00:00:00,LAKE-4,COTONS,TONS,0.039149047
2022-02-15 00:00:00,LAKE-4,COTONS,TONS,0.017099238
2022-02-16 00:00:00,LAKE-4,COTONS,TONS,0.012214365
2022-02-17 00:00:00,LAKE-4,COTONS,TONS,0.011049837
2022-02-22 00:00:00,LAKE-4,COTONS,TONS,0.005632477
2022-02-24 00:00:00,LAKE-4,COTONS,TONS,0.015529636
2022-02-25 00:00:00,LAKE-4,COTONS,TONS,0.028942237
2022-02-26 00:00:00,LAKE-4,COTONS,TONS,0.01829082
2022-02-27 00:00:00,LAKE-4,COTONS,TONS,0.0016611
2022-02-28 00:00:00,LAKE-4,COTONS,TONS,0.027367584
2022-03-01 00:00:00,LAKE-4,COTONS,TONS,0.011466291
2022-03-02 00:00:00,LAKE-4,COTONS,TONS,0.000707256
2022-03-04 00:00:00,LAKE-4,COTONS,TONS,0.00509245
2022-03-07 00:00:00,LAKE-4,COTONS,TONS,0.008777988
2022-03-08 00:00:00,LAKE-4,COTONS,TONS,0.020741829
2022-03-09 00:00:00,LAKE-4,COTONS,TONS,0.024553652
2022-03-10 00:00:00,LAKE-4,COTONS,TONS,0.017051984
2022-03-11 00:00:00,LAKE-4,COTONS,TONS,0.026390133
2022-03-12 00:00:00,LAKE-4,COTONS,TONS,0.0029656
2022-03-14 00:00:00,LAKE-4,COTONS,TONS,0.014374095
2022-03-15 00:00:00,LAKE-4,COTONS,TONS,0.010499415
2022-03-16 00:00:00,LAKE-4,COTONS,TONS,0.007929603
2022-03-17 00:00:00,LAKE-4,COTONS,TONS,0.01623649
2022-03-18 00:00:00,LAKE-4,COTONS,TONS,0.013711876
2022-03-19 00:00:00,LAKE-4,COTONS,TONS,0.008831603
2022-03-20 00:00:00,LAKE-4,COTONS,TONS,0.012331808
2022-03-21 00:00:00,LAKE-4,COTONS,TONS,0.02648894
2022-03-23 00:00:00,LAKE-4,COTONS,TONS,0.00442356
2022-03-24 00:00:00,LAKE-4,COTONS,TONS,0.003904144
2022-03-25 00:00:00,LAKE-4,COTONS,TONS,0.018738383
2022-03-26 00:00:00,LAKE-4,COTONS,TONS,0.009740518
2022-03-27 00:00:00,LAKE-4,COTONS,TONS,0.018420245
2022-03-28 00:00:00,LAKE-4,COTONS,TONS,0.00012912
2022-04-01 00:00:00,LAKE-4,COTONS,TONS,0.008552755
2022-04-02 00:00:00,LAKE-4,COTONS,TONS,0.008246743
2022-04-03 00:00:00,LAKE-4,COTONS,TONS,0.01068425
2022-04-04 00:00:00,LAKE-4,COTONS,TONS,0.01075619
2022-04-06 00:00:00,LAKE-4,COTONS,TONS,0.009603858
2022-05-09 00:00:00,LAKE-4,COTONS,TONS,0.03179575
2022-05-10 00:00:00,LAKE-4,COTONS,TONS,0.02053261
2022-05-11 00:00:00,LAKE-4,COTONS,TONS,0.019048111
2022-05-12 00:00:00,LAKE-4,COTONS,TONS,0.014287288
2022-05-13 00:00:00,LAKE-4,COTONS,TONS,0.017244404
2022-05-14 00:00:00,LAKE-4,COTONS,TONS,0.010384997
2022-05-15 00:00:00,LAKE-4,COTONS,TONS,0.014114725
2022-05-16 00:00:00,LAKE-4,COTONS,TONS,0.014649263
2022-05-17 00:00:00,LAKE-4,COTONS,TONS,0.017090151
2022-05-18 00:00:00,LAKE-4,COTONS,TONS,0.016019133
2022-05-19 00:00:00,LAKE-4,COTONS,TONS,0.017279195
2022-05-21 00:00:00,LAKE-4,COTONS,TONS,0.0076004
2022-05-22 00:00:00,LAKE-4,COTONS,TONS,0.00322146
2022-05-23 00:00:00,LAKE-4,COTONS,TONS,0.008032391
2022-05-24 00:00:00,LAKE-4,COTONS,TONS,0.006684794
2022-05-26 00:00:00,LAKE-4,COTONS,TONS,0.020783288
2022-05-27 00:00:00,LAKE-4,COTONS,TONS,0.003191708
2022-05-28 00:00:00,LAKE-4,COTONS,TONS,0.00970536
2022-05-29 00:00:00,LAKE-4,COTONS,TONS,0.004631633
2022-05-30 00:00:00,LAKE-4,COTONS,TONS,0.011481904
2022-05-31 00:00:00,LAKE-4,COTONS,TONS,0.004600472
2022-06-01 00:00:00,LAKE-4,COTONS,TONS,0.01617647
2022-06-02 00:00:00,LAKE-4,COTONS,TONS,0.000116017
2022-06-03 00:00:00,LAKE-4,COTONS,TONS,0.003542438
2022-06-04 00:00:00,LAKE-4,COTONS,TONS,0.00556394
2022-06-05 00:00:00,LAKE-4,COTONS,TONS,0.005241544
2022-06-06 00:00:00,LAKE-4,COTONS,TONS,0.00705736
2022-06-07 00:00:00,LAKE-4,COTONS,TONS,0.01151611
2022-06-08 00:00:00,LAKE-4,COTONS,TONS,0.012158587
2022-06-09 00:00:00,LAKE-4,COTONS,TONS,0.012359684
2022-06-10 00:00:00,LAKE-4,COTONS,TONS,0.017405464
2022-06-11 00:00:00,LAKE-4,COTONS,TONS,0.0000676
2022-06-12 00:00:00,LAKE-4,COTONS,TONS,0.005284426
2022-06-13 00:00:00,LAKE-4,COTONS,TONS,0.005146332
2022-06-14 00:00:00,LAKE-4,COTONS,TONS,0.00705311
2022-06-16 00:00:00,LAKE-4,COTONS,TONS,0.011068408
2022-06-23 00:00:00,LAKE-4,COTONS,TONS,0.005078375
2022-06-24 00:00:00,LAKE-4,COTONS,TONS,0.01761836
2022-06-25 00:00:00,LAKE-4,COTONS,TONS,0.015066637
2022-06-26 00:00:00,LAKE-4,COTONS,TONS,0.01805725
2022-06-27 00:00:00,LAKE-4,COTONS,TONS,0.003479482
2022-06-28 00:00:00,LAKE-4,COTONS,TONS,0.016050782
2022-06-29 00:00:00,LAKE-4,COTONS,TONS,0.01764655
2022-06-30 00:00:00,LAKE-4,COTONS,TONS,0.027184218
2022-07-01 00:00:00,LAKE-4,COTONS,TONS,0.022756375
2022-07-02 00:00:00,LAKE-4,COTONS,TONS,0.016475753
2022-07-03 00:00:00,LAKE-4,COTONS,TONS,0.017259807
2022-07-04 00:00:00,LAKE-4,COTONS,TONS,0.015320935
2022-07-05 00:00:00,LAKE-4,COTONS,TONS,0.0142695
2022-07-07 00:00:00,LAKE-4,COTONS,TONS,0.02506293
2022-07-08 00:00:00,LAKE-4,COTONS,TONS,0.024600975
2022-07-09 00:00:00,LAKE-4,COTONS,TONS,0.01633871
2022-07-10 00:00:00,LAKE-4,COTONS,TONS,0.01799359
2022-07-11 00:00:00,LAKE-4,COTONS,TONS,0.031000968
2022-07-12 00:00:00,LAKE-4,COTONS,TONS,0.02060044
2022-07-13 00:00:00,LAKE-4,COTONS,TONS,0.031178715
2022-07-14 00:00:00,LAKE-4,COTONS,TONS,0.01140166
2022-07-15 00:00:00,LAKE-4,COTONS,TONS,0.007123028
2022-07-16 00:00:00,LAKE-4,COTONS,TONS,0.012995255
2022-07-17 00:00:00,LAKE-4,COTONS,TONS,0.012962173
2022-07-18 00:00:00,LAKE-4,COTONS,TONS,0.014534076
2022-07-19 00:00:00,LAKE-4,COTONS,TONS,0.017459581
2022-07-20 00:00:00,LAKE-4,COTONS,TONS,0.003308695
2022-07-21 00:00:00,LAKE-4,COTONS,TONS,0.00488619
2022-07-22 00:00:00,LAKE-4,COTONS,TONS,0.013919
2022-07-23 00:00:00,LAKE-4,COTONS,TONS,0.015582958
2022-07-24 00:00:00,LAKE-4,COTONS,TONS,0.014997808
2022-07-26 00:00:00,LAKE-4,COTONS,TONS,0.011825341
2022-07-27 00:00:00,LAKE-4,COTONS,TONS,0.008335355
2022-07-28 00:00:00,LAKE-4,COTONS,TONS,0.015179989
2022-07-29 00:00:00,LAKE-4,COTONS,TONS,0.021314376
2022-07-30 00:00:00,LAKE-4,COTONS,TONS,0.02378117
2022-07-31 00:00:00,LAKE-4,COTONS,TONS,0.01997152
2022-08-01 00:00:00,LAKE-4,COTONS,TONS,0.01722054
2022-08-02 00:00:00,LAKE-4,COTONS,TONS,0.012058567
2022-08-03 00:00:00,LAKE-4,COTONS,TONS,0.006501073
2022-08-04 00:00:00,LAKE-4,COTONS,TONS,0.013378876
2022-08-05 00:00:00,LAKE-4,COTONS,TONS,0.01630055
2022-08-06 00:00:00,LAKE-4,COTONS,TONS,0.019505172
2022-08-07 00:00:00,LAKE-4,COTONS,TONS,0.017110408
2022-08-08 00:00:00,LAKE-4,COTONS,TONS,0.008076763
2022-08-09 00:00:00,LAKE-4,COTONS,TONS,0.012338776
2022-08-10 00:00:00,LAKE-4,COTONS,TONS,0.018730941
2022-08-11 00:00:00,LAKE-4,COTONS,TONS,0.002611876
2022-08-12 00:00:00,LAKE-4,COTONS,TONS,0.01467259
2022-08-13 00:00:00,LAKE-4,COTONS,TONS,0.004805639
2022-08-14 00:00:00,LAKE-4,COTONS,TONS,0.01242405
2022-08-15 00:00:00,LAKE-4,COTONS,TONS,0.014568006
2022-08-16 00:00:00,LAKE-4,COTONS,TONS,0.013682369
2022-08-19 00:00:00,LAKE-4,COTONS,TONS,0.013295766
2022-08-20 00:00:00,LAKE-4,COTONS,TONS,0.003415685
2022-08-21 00:00:00,LAKE-4,COTONS,TONS,0.004713475
2022-08-23 00:00:00,LAKE-4,COTONS,TONS,0.00854505
2022-08-24 00:00:00,LAKE-4,COTONS,TONS,0.01262913
2022-08-25 00:00:00,LAKE-4,COTONS,TONS,0.00136628
2022-08-27 00:00:00,LAKE-4,COTONS,TONS,0.003933006
2022-08-28 00:00:00,LAKE-4,COTONS,TONS,0.003424287
2022-08-29 00:00:00,LAKE-4,COTONS,TONS,0.0073889
2022-09-01 00:00:00,LAKE-4,COTONS,TONS,0.010445901
2022-09-02 00:00:00,LAKE-4,COTONS,TONS,0.004152985
2022-09-03 00:00:00,LAKE-4,COTONS,TONS,0.005818578
2022-09-04 00:00:00,LAKE-4,COTONS,TONS,0.009073713
2022-09-05 00:00:00,LAKE-4,COTONS,TONS,0.005760499
2022-09-06 00:00:00,LAKE-4,COTONS,TONS,0.005274555
2022-09-07 00:00:00,LAKE-4,COTONS,TONS,0.001515895
2022-09-08 00:00:00,LAKE-4,COTONS,TONS,0.004441459
2022-09-09 00:00:00,LAKE-4,COTONS,TONS,0.00105354
2022-09-10 00:00:00,LAKE-4,COTONS,TONS,0.006832518
2022-09-12 00:00:00,LAKE-4,COTONS,TONS,0.010980352
2022-09-15 00:00:00,LAKE-4,COTONS,TONS,0.00492079
2022-09-16 00:00:00,LAKE-4,COTONS,TONS,0.01050411
2022-09-17 00:00:00,LAKE-4,COTONS,TONS,0.006495784
2022-09-19 00:00:00,LAKE-4,COTONS,TONS,0.010791354
2022-09-20 00:00:00,LAKE-4,COTONS,TONS,0.01573337
2022-09-21 00:00:00,LAKE-4,COTONS,TONS,0.013488768
2022-09-22 00:00:00,LAKE-4,COTONS,TONS,0.012994928
2022-09-23 00:00:00,LAKE-4,COTONS,TONS,0.007840372
2022-09-24 00:00:00,LAKE-4,COTONS,TONS,0.00956358
2022-09-25 00:00:00,LAKE-4,COTONS,TONS,0.014821212
2022-09-26 00:00:00,LAKE-4,COTONS,TONS,0.0044583
2022-09-27 00:00:00,LAKE-4,COTONS,TONS,0.005554431
2022-09-29 00:00:00,LAKE-4,COTONS,TONS,0.007304973
2022-10-04 00:00:00,LAKE-4,COTONS,TONS,0.009525562
2022-10-05 00:00:00,LAKE-4,COTONS,TONS,0.02302905
2022-10-06 00:00:00,LAKE-4,COTONS,TONS,0.025877736
2022-10-10 00:00:00,LAKE-4,COTONS,TONS,0.005699207
2022-10-11 00:00:00,LAKE-4,COTONS,TONS,0.003586827
2022-10-12 00:00:00,LAKE-4,COTONS,TONS,0.004811711
2022-10-13 00:00:00,LAKE-4,COTONS,TONS,0.006677949
2022-10-14 00:00:00,LAKE-4,COTONS,TONS,0.007379665
2022-10-15 00:00:00,LAKE-4,COTONS,TONS,0.007627416
2022-10-17 00:00:00,LAKE-4,COTONS,TONS,0.008866081
2022-10-19 00:00:00,LAKE-4,COTONS,TONS,0.008018863
2022-10-21 00:00:00,LAKE-4,COTONS,TONS,0.01707852
2022-10-22 00:00:00,LAKE-4,COTONS,TONS,0.01538158
2022-10-23 00:00:00,LAKE-4,COTONS,TONS,0.02870245
2022-10-24 00:00:00,LAKE-4,COTONS,TONS,0.035168333
2022-10-25 00:00:00,LAKE-4,COTONS,TONS,0.026739509
2022-10-26 00:00:00,LAKE-4,COTONS,TONS,0.04502305
2022-10-27 00:00:00,LAKE-4,COTONS,TONS,0.031727042
2022-10-28 00:00:00,LAKE-4,COTONS,TONS,0.040655415
2022-10-29 00:00:00,LAKE-4,COTONS,TONS,0.01340754
2022-10-30 00:00:00,LAKE-4,COTONS,TONS,0.0018923
2022-11-02 00:00:00,LAKE-4,COTONS,TONS,0.00788557
2022-11-03 00:00:00,LAKE-4,COTONS,TONS,0.0355916
2022-11-04 00:00:00,LAKE-4,COTONS,TONS,0.00857904
2022-11-05 00:00:00,LAKE-4,COTONS,TONS,0.01071992
2022-11-06 00:00:00,LAKE-4,COTONS,TONS,0.04414055
2022-11-07 00:00:00,LAKE-4,COTONS,TONS,0.0472755
2022-11-08 00:00:00,LAKE-4,COTONS,TONS,0.028872572
2022-11-09 00:00:00,LAKE-4,COTONS,TONS,0.003988625
2022-11-10 00:00:00,LAKE-4,COTONS,TONS,0.008885101
2022-11-13 00:00:00,LAKE-4,COTONS,TONS,0.014771698
2022-11-14 00:00:00,LAKE-4,COTONS,TONS,0.0000018
2022-11-15 00:00:00,LAKE-4,COTONS,TONS,0.01942715
2022-11-16 00:00:00,LAKE-4,COTONS,TONS,0.034178804
2022-11-17 00:00:00,LAKE-4,COTONS,TONS,0.032957914
2022-11-18 00:00:00,LAKE-4,COTONS,TONS,0.0461799
2022-11-19 00:00:00,LAKE-4,COTONS,TONS,0.04949665
2022-11-20 00:00:00,LAKE-4,COTONS,TONS,0.0574987
2022-11-21 00:00:00,LAKE-4,COTONS,TONS,0.014917098
2022-11-22 00:00:00,LAKE-4,COTONS,TONS,0.038111048
2022-11-23 00:00:00,LAKE-4,COTONS,TONS,0.0530204
2022-11-24 00:00:00,LAKE-4,COTONS,TONS,0.04614725
2022-11-25 00:00:00,LAKE-4,COTONS,TONS,0.0558056
2022-11-26 00:00:00,LAKE-4,COTONS,TONS,0.030950943
2022-11-27 00:00:00,LAKE-4,COTONS,TONS,0.02734125
2022-11-28 00:00:00,LAKE-4,COTONS,TONS,0.025974989
2022-11-29 00:00:00,LAKE-4,COTONS,TONS,0.005500904
2022-11-30 00:00:00,LAKE-4,COTONS,TONS,0.038734715
2022-12-01 00:00:00,LAKE-4,COTONS,TONS,0.02829146
2022-12-02 00:00:00,LAKE-4,COTONS,TONS,0.013309434
2022-12-03 00:00:00,LAKE-4,COTONS,TONS,0.010624343
2022-12-04 00:00:00,LAKE-4,COTONS,TONS,0.013800938
2022-12-05 00:00:00,LAKE-4,COTONS,TONS,0.011717379
2022-12-06 00:00:00,LAKE-4,COTONS,TONS,0.0380355
2022-12-07 00:00:00,LAKE-4,COTONS,TONS,0.0207396
2022-12-08 00:00:00,LAKE-4,COTONS,TONS,0.04640965
2022-12-09 00:00:00,LAKE-4,COTONS,TONS,0.05077865
2022-12-10 00:00:00,LAKE-4,COTONS,TONS,0.01499749
2022-12-11 00:00:00,LAKE-4,COTONS,TONS,0.03679889
2022-12-12 00:00:00,LAKE-4,COTONS,TONS,0.000156125
2022-12-15 00:00:00,LAKE-4,COTONS,TONS,0.00209924
2022-12-16 00:00:00,LAKE-4,COTONS,TONS,0.000429896
2022-12-20 00:00:00,LAKE-4,COTONS,TONS,0.013239882
2022-12-21 00:00:00,LAKE-4,COTONS,TONS,0.03115872
2022-12-22 00:00:00,LAKE-4,COTONS,TONS,0.014318221
2022-12-23 00:00:00,LAKE-4,COTONS,TONS,0.01157803
2022-12-24 00:00:00,LAKE-4,COTONS,TONS,0.02815065
2022-12-25 00:00:00,LAKE-4,COTONS,TONS,0.0395708
2022-12-26 00:00:00,LAKE-4,COTONS,TONS,0.022670125
2022-12-28 00:00:00,LAKE-4,COTONS,TONS,0.012779974
2022-12-29 00:00:00,LAKE-4,COTONS,TONS,0.022048389
2022-12-30 00:00:00,LAKE-4,COTONS,TONS,0.05408355
2022-12-31 00:00:00,LAKE-4,COTONS,TONS,0.041605924
2023-01-01 00:00:00,LAKE-4,COTONS,TONS,0.02485064
2023-01-02 00:00:00,LAKE-4,COTONS,TONS,0.048977572
2023-01-03 00:00:00,LAKE-4,COTONS,TONS,0.048038618
2023-01-04 00:00:00,LAKE-4,COTONS,TONS,0.021234653
2023-01-05 00:00:00,LAKE-4,COTONS,TONS,0.0563156
2023-01-06 00:00:00,LAKE-4,COTONS,TONS,0.05742915
2023-01-07 00:00:00,LAKE-4,COTONS,TONS,0.06336365
2023-01-08 00:00:00,LAKE-4,COTONS,TONS,0.040864853
2023-01-09 00:00:00,LAKE-4,COTONS,TONS,0.0576553
2023-01-10 00:00:00,LAKE-4,COTONS,TONS,0.05144335
2023-01-11 00:00:00,LAKE-4,COTONS,TONS,0.05631205
2023-01-12 00:00:00,LAKE-4,COTONS,TONS,0.000000301
2023-01-16 00:00:00,LAKE-4,COTONS,TONS,0.010393373
2023-01-24 00:00:00,LAKE-4,COTONS,TONS,0.009957196
2023-01-25 00:00:00,LAKE-4,COTONS,TONS,0.005478159
2023-02-07 00:00:00,LAKE-4,COTONS,TONS,0.042517858
2023-02-08 00:00:00,LAKE-4,COTONS,TONS,0.041276818
2023-02-09 00:00:00,LAKE-4,COTONS,TONS,0.0433374
2023-02-10 00:00:00,LAKE-4,COTONS,TONS,0.044732832
2023-02-11 00:00:00,LAKE-4,COTONS,TONS,0.0490934
2023-02-12 00:00:00,LAKE-4,COTONS,TONS,0.03800435
2023-02-13 00:00:00,LAKE-4,COTONS,TONS,0.038455196
2023-02-14 00:00:00,LAKE-4,COTONS,TONS,0.028360301
2023-02-15 00:00:00,LAKE-4,COTONS,TONS,0.03990003
2023-02-16 00:00:00,LAKE-4,COTONS,TONS,0.007104833
2023-02-17 00:00:00,LAKE-4,COTONS,TONS,0.010071259
2023-02-20 00:00:00,LAKE-4,COTONS,TONS,0.00775345
2023-02-21 00:00:00,LAKE-4,COTONS,TONS,0.034982615
2023-02-22 00:00:00,LAKE-4,COTONS,TONS,0.0226033
2023-02-23 00:00:00,LAKE-4,COTONS,TONS,0.03643745
2023-02-24 00:00:00,LAKE-4,COTONS,TONS,0.027037438
2023-02-25 00:00:00,LAKE-4,COTONS,TONS,0.021412434
2023-02-26 00:00:00,LAKE-4,COTONS,TONS,0.022343255
2023-02-27 00:00:00,LAKE-4,COTONS,TONS,0.02939825
2023-02-28 00:00:00,LAKE-4,COTONS,TONS,0.021684867
2023-03-01 00:00:00,LAKE-4,COTONS,TONS,0.00276446
2023-03-02 00:00:00,LAKE-4,COTONS,TONS,0.005720816
2023-03-07 00:00:00,LAKE-4,COTONS,TONS,0.008557519
2023-03-08 00:00:00,LAKE-4,COTONS,TONS,0.01514767
2023-03-09 00:00:00,LAKE-4,COTONS,TONS,0.01818211
2023-03-10 00:00:00,LAKE-4,COTONS,TONS,0.02743545
2023-03-11 00:00:00,LAKE-4,COTONS,TONS,0.004953285
2023-03-13 00:00:00,LAKE-4,COTONS,TONS,0.010106702
2023-03-14 00:00:00,LAKE-4,COTONS,TONS,0.021996785
2023-03-15 00:00:00,LAKE-4,COTONS,TONS,0.007412398
2023-03-16 00:00:00,LAKE-4,COTONS,TONS,0.01207265
2023-03-17 00:00:00,LAKE-4,COTONS,TONS,0.00026325
2023-04-15 00:00:00,LAKE-4,COTONS,TONS,0.009427119
2023-04-16 00:00:00,LAKE-4,COTONS,TONS,0.025379064
2023-04-17 00:00:00,LAKE-4,COTONS,TONS,0.0394056
2023-04-18 00:00:00,LAKE-4,COTONS,TONS,0.019839514
2023-04-19 00:00:00,LAKE-4,COTONS,TONS,0.021416468
2023-04-20 00:00:00,LAKE-4,COTONS,TONS,0.01753543
2023-04-21 00:00:00,LAKE-4,COTONS,TONS,0.023799313
2023-04-22 00:00:00,LAKE-4,COTONS,TONS,0.01275519
2023-04-23 00:00:00,LAKE-4,COTONS,TONS,0.014842996
2023-04-24 00:00:00,LAKE-4,COTONS,TONS,0.029937031
2023-04-25 00:00:00,LAKE-4,COTONS,TONS,0.018364518
2023-04-26 00:00:00,LAKE-4,COTONS,TONS,0.025075986
2023-04-27 00:00:00,LAKE-4,COTONS,TONS,0.021030815
2023-04-28 00:00:00,LAKE-4,COTONS,TONS,0.019670275
2023-04-29 00:00:00,LAKE-4,COTONS,TONS,0.012053658
2023-04-30 00:00:00,LAKE-4,COTONS,TONS,0.010709488
2023-05-01 00:00:00,LAKE-4,COTONS,TONS,0.010551345
2023-05-02 00:00:00,LAKE-4,COTONS,TONS,0.015298216
2023-05-03 00:00:00,LAKE-4,COTONS,TONS,0.011742578
2023-05-04 00:00:00,LAKE-4,COTONS,TONS,0.008343725
