TimeStamp,Source,Parameter,Units,Value
2022-01-06 00:00:00,LAKE-4,LOADMWBA,MW,48.75099045
2022-01-07 00:00:00,LAKE-4,LOADMWBA,MW,49.02364649
2022-01-08 00:00:00,LAKE-4,LOADMWBA,MW,10.4290062
2022-01-09 00:00:00,LAKE-4,LOADMWBA,MW,58.1611035
2022-01-10 00:00:00,LAKE-4,LOADMWBA,MW,62.75297568
2022-01-11 00:00:00,LAKE-4,LOADMWBA,MW,59.87328686
2022-01-12 00:00:00,LAKE-4,LOADMWBA,MW,55.57000571
2022-01-13 00:00:00,LAKE-4,LOADMWBA,MW,45.22337202
2022-01-14 00:00:00,LAKE-4,LOADMWBA,MW,55.25568289
2022-01-15 00:00:00,LAKE-4,LOADMWBA,MW,72.17606444
2022-01-16 00:00:00,LAKE-4,LOADMWBA,MW,70.53271277
2022-01-17 00:00:00,LAKE-4,LOADMWBA,MW,84.34816082
2022-01-18 00:00:00,LAKE-4,LOADMWBA,MW,71.04983179
2022-01-19 00:00:00,LAKE-4,LOADMWBA,MW,64.22563892
2022-01-20 00:00:00,LAKE-4,LOADMWBA,MW,74.82833999
2022-01-21 00:00:00,LAKE-4,LOADMWBA,MW,72.15479873
2022-01-22 00:00:00,LAKE-4,LOADMWBA,MW,58.92421209
2022-01-23 00:00:00,LAKE-4,LOADMWBA,MW,59.82287239
2022-01-24 00:00:00,LAKE-4,LOADMWBA,MW,56.82233597
2022-01-25 00:00:00,LAKE-4,LOADMWBA,MW,73.48384872
2022-01-26 00:00:00,LAKE-4,LOADMWBA,MW,73.68456367
2022-01-27 00:00:00,LAKE-4,LOADMWBA,MW,78.96830714
2022-01-28 00:00:00,LAKE-4,LOADMWBA,MW,87.21754279
2022-01-29 00:00:00,LAKE-4,LOADMWBA,MW,82.7632552
2022-01-30 00:00:00,LAKE-4,LOADMWBA,MW,82.10209863
2022-01-31 00:00:00,LAKE-4,LOADMWBA,MW,75.34114896
2022-02-01 00:00:00,LAKE-4,LOADMWBA,MW,80.93360811
2022-02-02 00:00:00,LAKE-4,LOADMWBA,MW,33.2402868
2022-02-03 00:00:00,LAKE-4,LOADMWBA,MW,63.32649984
2022-02-04 00:00:00,LAKE-4,LOADMWBA,MW,61.54454735
2022-02-05 00:00:00,LAKE-4,LOADMWBA,MW,70.80048685
2022-02-06 00:00:00,LAKE-4,LOADMWBA,MW,62.71326657
2022-02-07 00:00:00,LAKE-4,LOADMWBA,MW,63.75808397
2022-02-08 00:00:00,LAKE-4,LOADMWBA,MW,74.28412153
2022-02-09 00:00:00,LAKE-4,LOADMWBA,MW,77.97571728
2022-02-10 00:00:00,LAKE-4,LOADMWBA,MW,72.0582931
2022-02-11 00:00:00,LAKE-4,LOADMWBA,MW,63.09279579
2022-02-12 00:00:00,LAKE-4,LOADMWBA,MW,75.02320901
2022-02-13 00:00:00,LAKE-4,LOADMWBA,MW,60.24079148
2022-02-14 00:00:00,LAKE-4,LOADMWBA,MW,67.2666228
2022-02-15 00:00:00,LAKE-4,LOADMWBA,MW,55.38360688
2022-02-16 00:00:00,LAKE-4,LOADMWBA,MW,54.71508718
2022-02-17 00:00:00,LAKE-4,LOADMWBA,MW,56.55242033
2022-02-22 00:00:00,LAKE-4,LOADMWBA,MW,36.79534756
2022-02-24 00:00:00,LAKE-4,LOADMWBA,MW,58.28321288
2022-02-25 00:00:00,LAKE-4,LOADMWBA,MW,70.51380857
2022-02-26 00:00:00,LAKE-4,LOADMWBA,MW,70.18486115
2022-02-27 00:00:00,LAKE-4,LOADMWBA,MW,28.51998162
2022-02-28 00:00:00,LAKE-4,LOADMWBA,MW,60.17318598
2022-03-01 00:00:00,LAKE-4,LOADMWBA,MW,65.89819173
2022-03-02 00:00:00,LAKE-4,LOADMWBA,MW,0.171774923
2022-03-04 00:00:00,LAKE-4,LOADMWBA,MW,47.2053642
2022-03-07 00:00:00,LAKE-4,LOADMWBA,MW,52.83982638
2022-03-08 00:00:00,LAKE-4,LOADMWBA,MW,61.60102742
2022-03-09 00:00:00,LAKE-4,LOADMWBA,MW,54.56459533
2022-03-10 00:00:00,LAKE-4,LOADMWBA,MW,54.54121807
2022-03-11 00:00:00,LAKE-4,LOADMWBA,MW,63.9467522
2022-03-12 00:00:00,LAKE-4,LOADMWBA,MW,46.79832395
