TimeStamp,Source,Parameter,Units,Value
2022-01-06 00:00:00,LAKE-4,UNITONBT,MW,337
2022-01-07 00:00:00,LAKE-4,UNITONBT,MW,419
2022-01-08 00:00:00,LAKE-4,UNITONBT,MW,38
2022-01-09 00:00:00,LAKE-4,UNITONBT,MW,426
2022-01-10 00:00:00,LAKE-4,UNITONBT,MW,952
2022-01-11 00:00:00,LAKE-4,UNITONBT,MW,523
2022-01-12 00:00:00,LAKE-4,UNITONBT,MW,876
2022-01-13 00:00:00,LAKE-4,UNITONBT,MW,489
2022-01-14 00:00:00,LAKE-4,UNITONBT,MW,725
2022-01-15 00:00:00,LAKE-4,UNITONBT,MW,955
2022-01-16 00:00:00,LAKE-4,UNITONBT,MW,996
2022-01-17 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-18 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-19 00:00:00,LAKE-4,UNITONBT,MW,884
2022-01-20 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-21 00:00:00,LAKE-4,UNITONBT,MW,1036
2022-01-22 00:00:00,LAKE-4,UNITONBT,MW,703
2022-01-23 00:00:00,LAKE-4,UNITONBT,MW,422
2022-01-24 00:00:00,LAKE-4,UNITONBT,MW,1135
2022-01-25 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-26 00:00:00,LAKE-4,UNITONBT,MW,830
2022-01-27 00:00:00,LAKE-4,UNITONBT,MW,1020
2022-01-28 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-29 00:00:00,LAKE-4,UNITONBT,MW,1440
2022-01-30 00:00:00,LAKE-4,UNITONBT,MW,1439
2022-01-31 00:00:00,LAKE-4,UNITONBT,MW,429
2022-02-01 00:00:00,LAKE-4,UNITONBT,MW,1303
2022-02-02 00:00:00,LAKE-4,UNITONBT,MW,72
2022-02-03 00:00:00,LAKE-4,UNITONBT,MW,1246
2022-02-04 00:00:00,LAKE-4,UNITONBT,MW,1073
2022-02-05 00:00:00,LAKE-4,UNITONBT,MW,759
